,Astrocyte A,Astrocyte B,Endothelial,Inhibitory neuron A,Inhibitory neuron B,Inhibitory neuron C,L2/3 neuron,L4 neuron,L6 neuron,Microglia A,Microglia B,Oligodendrocyte,Oligodendrocyte precursor cell
A1BG,1.09100233287748,0.449573527900524,0.716307674866795,0.717790055248619,0.695947426067908,0.55018341307815,0.692283202989826,0.912163390523804,1.2116309633329,0.392209631728045,0.616276836158192,0.575922272874893,0.501853140769097
A2M,0.0414487973614351,0.047353817696023,0.88403242262782,0.0478084714548803,0.0300109529025192,0.0332775119617225,0.0424804484739428,0.0314680149982956,0.0490603233013537,0.864667925716084,0.308819209039548,0.0282238954977928,0.0581433791543414
AAAS,0.104114713216958,0.128229370054465,0.0382099535200091,0.122209944751381,0.118729463307777,0.0862280701754386,0.10601425704201,0.13691057834337,0.135799710868708,0.0425086559647466,0.0311920903954802,0.0661612759661763,0.075369758134679
AAK1,0.031393290966133,0.108395848319803,0.042744586781544,0.95609576427256,0.634611171960569,0.542049441786284,0.778309917641359,0.735365299397796,0.73640425811539,0.0629682090022033,0.0305141242937853,0.0375819430578443,0.093814163911606
AAMP,0.173296597216636,0.214243140478882,0.0858236027661263,0.506372007366482,0.425410733844469,0.291650717703349,0.481057512630632,0.460737416202704,0.591707188855303,0.0783915643689015,0.0525480225988701,0.115922513441669,0.134705063511397
AARS1,0.176273027109645,0.238392765388963,0.0683652647092166,0.886850828729282,0.706900328587076,0.44188995215311,0.848695411447159,0.866827633223497,0.970863451176239,0.0790210890777463,0.0487062146892655,0.14985445710093,0.156455542021924
AASS,0.137579438500523,0.315054978933306,0.0573120961342251,0.0205524861878453,0.0420591456736035,0.033755980861244,0.0387431656169977,0.039080786274287,0.0852017347877514,0.0421938936103242,0.0271242937853107,0.0961719811876782,0.16532973725422
AATK,0.0162698093475987,0.0158051587709382,0,0.067329650092081,0.0979189485213582,0.0718740031897927,0.105668212333033,0.130888535393705,0.183112104087265,0,0.00407344632768362,0.217044757448549,0.0334348355663825
ABAT,0.085451693347277,0.232329668071113,0.0479027321165401,1.29716390423573,0.916100766703176,0.587503987240829,0.488808914111703,0.473804113168958,0.496950979103693,0.0837425243940825,0.0280282485875706,0.0337328746526817,0.204654602401253
ABCA1,0.042977234333521,0.0559860240468606,0.0107187393719533,0.0389686924493554,0.0201533406352683,0.0162121212121212,0.026216347152052,0.014083626860584,0.0255355500065712,0.00882908404154863,0.00678531073446328,0.00650071568615658,0.0247346441621716
ABCA2,0.17876679269568,0.09267290103792,0.0362827343838567,0.154254143646409,0.135158817086528,0.171874003189793,0.224223129628348,0.21224292694012,0.498790905506637,0.0189014793830658,0.0427175141242938,0.973711464209678,0.137315120932661
ABCA5,0.0191657951894457,0.0322474565820573,0.032144881532706,0.390718232044199,0.359693318729463,0.300422647527911,0.378074607239255,0.345977729803431,0.328466289919832,0.0185867170286434,0.0105141242937853,0.0342260365420932,0.0671915782147207
ABCB1,0.0204529000080444,0.0180659747199671,0.421953293277406,0.0165009208103131,0.0267250821467689,0.0197208931419458,0.0302996747179736,0.0221508919440973,0.0460375870679459,0.0233081523449795,0.0217005649717514,0.0235929850728316,0.0243866365060031
ABCB10,0.0277733086638243,0.0521837426780393,0.0161036163700261,0.132523020257827,0.15815991237678,0.0954784688995215,0.0925877223337255,0.0990739688671742,0.105966618478118,0.0321214982688071,0.0157118644067797,0.0243387420763318,0.0367409082999826
ABCB7,0.0157871450406242,0.0358442092282397,0.00590069153157238,0.0710128913443831,0.0530120481927711,0.0372647527910686,0.0622049968855976,0.065782297466197,0.059311341832041,0.00914384639597104,0.00701129943502825,0.0123705450040295,0.0142944144771185
ABCB8,0.0848081409379776,0.0951392457095879,0.0208649812946378,0.176353591160221,0.24249726177437,0.145079744816587,0.176745795556786,0.18292807635496,0.211762386647391,0.0421938936103242,0.0223785310734463,0.0594855479509725,0.0680615973551418
ABCB9,0.0244751025661652,0.0401603124036584,0.0153100555492575,0.190349907918969,0.184446878422782,0.0911722488038278,0.166987334763651,0.1489546642427,0.171546852411618,0.0132357570034624,0.00814124293785311,0.0176149007060635,0.0219505829128241
ABCC1,0.014580484273188,0.0144692220737848,0,0.0448618784530387,0.130777656078861,0.0380622009569378,0.0570143262509516,0.0539654584706283,0.0560257589696412,0.0116619452313503,0.00689830508474576,0.000654943045815943,0.00768226900991822
ABCC3,0.0260035395382511,0.0238207789538588,0.0140063484865662,0.0297605893186004,0.0223439211391019,0.0230701754385965,0.0222714374697211,0.0363538234291558,0.0418320410040741,0.0283443500157381,0.0228305084745763,0.0122622899551343,0.0214285714285714
ABCC4,0.0293017456359102,0.00388449285787688,0.00198957034349847,0,0,0,0,0,0,0.103572552722694,0.0497231638418079,0,0.0094223072907604
ABCC8,0.0667886734775963,0.0616380639194327,0.0155934701281034,0.236022099447514,0.308214676889376,0.168205741626794,0.359803446605301,0.276667424156346,0.364739124720725,0.0242524394082468,0.0133389830508475,0.0201167951694192,0.0995562902383852
ABCC9,0.107252031212292,0.0737642585551331,0.0501133658315384,0.0220257826887661,0.0179627601314348,0.0120653907496013,0.0210948854592013,0.0205601636177707,0.0410435011170982,0.00253383695310041,0.00588135593220339,0.0048287765976641,0.0151644336175396
ABCD1,0.0699259914729306,0.0678039255986024,0.0531742432830745,0.0621731123388582,0.0606790799561884,0.0466746411483254,0.078123053498512,0.072826951482786,0.090852937311079,0.041249606547057,0.0432824858757062,0.0315437169972455,0.0414390116582565
ABCE1,0.0433794545893331,0.0746891378070085,0.0379832218569323,0.198821362799263,0.210733844468784,0.15433014354067,0.233912381479687,0.20008521758891,0.246720988303325,0.0396757947749449,0.0228305084745763,0.0565626616308022,0.0703236471202366
ABCG1,0.027129756254525,0.0344055081697667,0.0746570683595964,0.260699815837937,0.172398685651698,0.133915470494418,0.141864488891965,0.151113509828429,0.216362202654751,0.0557286748504879,0.0370677966101695,0.132401337551271,0.187254219592831
ABHD12,0.0149827045290001,0.0374884390093516,0.0106053735404149,0.202872928176796,0.189923329682366,0.112543859649123,0.211073430687245,0.156908305874332,0.205322644237088,0.0469153289266604,0.0181977401129944,0.0399274691172402,0.0616234557160257
ABHD2,0.192200949239804,0.540828280752235,0.134117447001474,0.724788213627993,0.661993428258489,0.468684210526316,0.794366392137864,0.52038972843995,0.716427914311999,0.0982215926975134,0.0618135593220339,0.0657643407868939,0.687167217678789
ABHD3,0.0347719411149545,0.0989415270784092,0.0108321052034917,0.0588581952117864,0.0475355969331873,0.0356698564593301,0.0397120908021316,0.0541927053743893,0.0457747404389539,0.0365281712307208,0.0144689265536723,0.0144273909330382,0.0189925178353924
ABHD5,0.0192462392406081,0.0244373651217758,0.0123058610134905,0.06548802946593,0.0453450164293538,0.0383811802232855,0.0640044293722749,0.0513521190773776,0.0635168878959127,0.00190431224425559,0.00294350282485876,0.0246755355617836,0.0182965025230555
ABHD6,0.0654211246078353,0.0735587298324941,0.0255696633034803,0.198084714548803,0.217305585980285,0.0884609250398724,0.159166724340785,0.16838427451426,0.241989748981469,0.0233081523449795,0.0135649717514124,0.102992049268076,0.0872020184444058
ABI1,0.305948837583461,0.563025382797246,0.107249744926879,0.530313075506446,1.06834611171961,0.39707336523126,0.667644819710707,0.386541302124759,0.560691286634249,0.174394082467737,0.103621468926554,0.0705516196158149,0.2008265181834
ABI2,0.120444855602928,0.245894563765286,0.0761875070853645,0.292007366482505,0.277546549835706,0.224984051036683,0.498775001730223,0.401994091580502,0.501419371796557,0.0676896443185395,0.0376327683615819,0.0703952512118551,0.12287280320167
ABI3BP,0.112641782640174,0.0149830438803823,0.00300986282734384,0.0113443830570902,0,0.0372647527910686,0.00545366461346806,0.00635723213271219,0.012524641871468,0.0135505193578848,0.0057683615819209,0.00328914923559907,0.00559422307290761
ABL1,0.0465167725846674,0.0642071729524201,0.0262498582927106,0.0426519337016575,0.0727272727272727,0.051140350877193,0.0685030105889681,0.0554425633450744,0.0802076488369037,0.0141800440667296,0.0124350282485876,0.0692766157066048,0.0483991647816252
ABL2,0.0324390636312445,0.0525948001233172,0.0192778596531006,0.0905340699815838,0.0836801752464403,0.0675677830940989,0.132798117516783,0.129070560163618,0.166158496517282,0.0267705382436261,0.0165028248587571,0.0210309489156453,0.0360448929876457
ABLIM1,0.487269728903548,0.775953139451238,0.286027661262895,1.0809576427256,0.793428258488499,0.660071770334928,0.658370821510139,0.328820588569481,0.583821789985543,0.0821687126219704,0.0379717514124294,0.0265639847480664,0.110344527579607
ABR,0.477777330866382,0.454095159798582,0.103111892075728,0.914106813996317,0.790142387732749,0.542049441786284,1.26955498650426,1.04339847744574,1.39312656065186,0.299354737173434,0.117293785310734,0.029691352827261,0.207090655994432
ABRAXAS1,0.0125693829941276,0.0214571986435104,0.00890488606733931,0.0220257826887661,0.0190580503833516,0.0101515151515151,0.0091217385286179,0.00578911487330985,0.0172558811933237,0.0135505193578848,0.012774011299435,0.0152814029854337,0.0123803723681921
ABRAXAS2,0.0453905558683935,0.0594800123317234,0.0241525904092506,0.104530386740331,0.0946330777656079,0.0846331738437002,0.160066440584123,0.142818997841154,0.164055723485346,0.0330657853320743,0.020683615819209,0.0263234179727438,0.042657038454846
ACAA1,0.236042957123321,0.217737128763745,0.0564618523976873,0.308213627992634,0.237020810514786,0.178572567783094,0.296062011211849,0.284393818884218,0.35015113681167,0.108293988039031,0.0725480225988701,0.124306265561663,0.119914738124239
ACACA,0.136453221784249,0.239523173363478,0.0763008729169029,0.364935543278085,0.366265060240964,0.317328548644338,0.494553256280711,0.459146687876378,0.496556709160205,0.0906672961913755,0.0540169491525424,0.107538761321674,0.153671480772577
ACACB,0.110872013514601,0.277340458329051,0.0387767826777009,0.0117127071823204,0.0420591456736035,0.00696172248803827,0.00621496297321614,0.014310873764345,0.0234327769746353,0.00442241107963488,0.00791525423728814,0.0310385267690679,0.0527492604837306
ACAD9,0.0132129354034269,0.0356386805056007,0.00510713071080376,0.100110497237569,0.076013143483023,0.057200956937799,0.110582047200498,0.100778320645381,0.115823367065317,0.014494806421152,0.00429943502824859,0.0111797394661823,0.0236906211936663
ACADM,0.0947027592309549,0.137272633850581,0.0475626346219249,0.26622467771639,0.186637458926616,0.148269537480064,0.236334694442522,0.21690148846722,0.231081613878302,0.0387315077116777,0.0263333333333333,0.048587873028856,0.071367670088742
ACADS,0.0495736465288392,0.0618435926420717,0.0132127876657975,0.0242357274401473,0.0475355969331873,0.0135007974481659,0.027946570696934,0.0216963981365754,0.0306610592719148,0.0126062322946176,0.0128870056497175,0.0237132684604929,0.023516617365582
ACADVL,0.352686831308825,0.347939574555544,0.0913218455957374,0.163093922651934,0.146111719605696,0.153851674641148,0.24194061872794,0.239853425747074,0.309015639374425,0.0824834749763928,0.0482542372881356,0.0973387300479931,0.10181834000348
ACAP2,0.0856930255007642,0.142924673723153,0.0532309261988437,0.223130755064457,0.189923329682366,0.147791068580542,0.291286594227974,0.189063742756505,0.241069785779997,0.0997954044696254,0.041361581920904,0.0431991772616284,0.0708456586044893
ACAP3,0.0831992599147293,0.0982221765491727,0.0320315157011677,0.231602209944751,0.285213581599124,0.234234449760766,0.427974254273652,0.392563345074423,0.529149691155211,0.0393610324205225,0.0232824858757062,0.15532735123952,0.330111362449974
ACAT1,0.143934518542354,0.16984893638886,0.101808185013037,0.400294659300184,0.318072289156626,0.222591706539075,0.37565229427642,0.332342915577775,0.390629517676436,0.0469153289266604,0.0302881355932203,0.0701787411140647,0.11626065773447
ACAT2,0,0.000801562018292054,0,0,0.0234392113910186,0.00855661881977671,0.0186033635545712,0.039308033178048,0.0246155868050992,0,0,0.000703056400880475,0
ACBD5,0.154714021398118,0.19841742883568,0.0928522843215055,0.475801104972376,0.326834611171961,0.237902711323764,0.253290885182366,0.312572434950574,0.360402155342358,0.112385898646522,0.0706271186440678,0.140821174687564,0.139925178353924
ACBD6,0.0742699702357011,0.111992600965985,0.0552715111665344,0.268802946593002,0.302738225629792,0.214457735247209,0.348868433801647,0.294847176457221,0.333460375870679,0.0705225055083412,0.0372937853107345,0.0631662196134092,0.102340351487733
ACD,0.0722588689566407,0.0813688212927757,0.0501700487473076,0.195506445672192,0.171303395399781,0.13566985645933,0.176815004498581,0.18304169980684,0.210185306873439,0.0550991501416431,0.0343559322033898,0.0528579332908332,0.0701496432921524
ACE,0.0241533263615156,0.0208406124755935,0.0240392245777123,0.0319705340699816,0.0475355969331873,0.0321610845295056,0.0473942833414077,0.0479434155209635,0.059837035090025,0.0233081523449795,0.0195536723163842,0.0130922453299975,0.022646598225161
ACE2,0.0146609283243504,0.0124139348473949,0.00867815440426255,0.0131860036832412,0.00262869660460022,0.0146172248803828,0.00953699217938957,0.0149926144756278,0.0156788014193718,0.0104028958136607,0.00915819209039548,0.00696982089803577,0.00959631111884461
ACER2,0.0204529000080444,0.0189908539718426,0.0797018478630541,0.0279189686924494,0.044249726177437,0.0278548644338118,0.0401273444529033,0.0473752982615612,0.0503745564463136,0.0229933899905571,0.00735028248587571,0.0102655857199562,0.02508265181834
ACER3,0.02230311318478,0.0566026102147775,0.0189377621584854,0.0478084714548803,0.0486308871851041,0.0393381180223285,0.0597826839227628,0.0483979093284854,0.0760021027730319,0.0189014793830658,0.0227175141242938,0.0707079880197746,0.0532712719679833
