,B cell,Conventional dendritic cell,Endothelial,Fibroblast,Macrophage,Malignancy,Monocyte,Neutrophil,NK cell,Pericyte,Plasma,Plasmablast,Plasmacytoid dendritic cell,T cell CD4,T cell CD8,T cell regulatory
A2M,0.195779036827195,0.139745222929936,3.38803706823926,0.31833904643191,0.649442267108833,0.0770923533831896,0.178146143437077,0.149468417761101,0.210399538439348,1.41193138500635,0.148612622415669,0.044614860259032,0.268504631671813,0.0381127537667115,0.0292279411764706,0.0454623078799707
AAAS,0.0759490084985836,0.0900636942675159,0.136422353271553,0.10570790485094,0.115425585368305,0.243872329767059,0.0978574650428507,0.0863039399624766,0.0800086542622241,0.0856289707750953,0.0996463547334059,0.0691547375596455,0.0898544331715924,0.0740468274740044,0.0710477941176471,0.0793730178092218
AAK1,0.0592351274787535,0.0692569002123142,0.109463633810727,0.0959437000103874,0.117334941211939,0.1635417039396,0.0798150654036987,0.0650406504065041,0.110875522861676,0.0800381194409149,0.0691784548422198,0.0674505794137696,0.0739744155271284,0.122642710617528,0.112561274509804,0.100841668699683
AAMP,0.13657223796034,0.113418259023355,0.193428812131424,0.130326165991482,0.153612702240981,0.281121408380148,0.133942264321155,0.108818011257036,0.122847252271744,0.115362134688691,0.169831338411317,0.139366053169734,0.107498897220997,0.0832425549975242,0.085140931372549,0.084740180531837
AARS1,0.114475920679887,0.0964331210191083,0.206627351867453,0.140505868910356,0.140347703748367,0.553458331842416,0.0825214253495715,0.130081300813008,0.0986153180441367,0.131626429479034,0.191050054406964,0.186741649625085,0.0973533303925893,0.0754615547853151,0.0771752450980392,0.0827884849963406
AASS,0.0147592067988669,0.0204246284501062,0.0794158944116821,0.0703905681936221,0.0260878303688072,0.454449493684474,0.00674334686513306,0.0694183864915572,0.0263522284725227,0.0485260482846252,0.01259521218716,0.0115541922290389,0.0144243493603882,0.021065289665417,0.0177389705882353,0.0239936569895096
ABAT,0.0260906515580737,0.033588110403397,0.0384161752316765,0.0219850420691804,0.0289016179278464,0.0322217053708806,0.0220793865584123,0.0312695434646654,0.0331314005481033,0.0175222363405337,0.0158596300326442,0.02280163599182,0.0307454786060873,0.0249557897715215,0.0250919117647059,0.0374115637960478
ABCA1,0.0467705382436261,0.0284925690021231,0.0333614153327717,0.0639503479796406,0.17240478343885,0.0985615629584571,0.0590663058186739,0.0569105691056911,0.0179864416558488,0.0335324015247776,0.0365342763873776,0.024505794137696,0.0673577415086017,0.0175284713871401,0.0129901960784314,0.0198463039765797
ABCA2,0.0252407932011331,0.0149044585987261,0.0395394552092109,0.041617326269866,0.0175459752788664,0.0221311768705049,0.0265899864682003,0.0400250156347717,0.0527477282561662,0.018284625158831,0.0147714907508161,0.0221199727334697,0.0303043670048522,0.040022635636981,0.0603247549019608,0.0405830690412296
ABCA5,0.0241076487252125,0.0157537154989384,0.0274641954507161,0.0280097642048406,0.0128228318761933,0.125505420975418,0.00809652683806946,0.0362726704190119,0.0259195153613155,0.0149809402795426,0.0408868335146899,0.0367757327880027,0.0192765769739744,0.0301195444578058,0.028155637254902,0.0215540375701391
ABCB1,0.0340226628895184,0.0229723991507431,0.179668632406627,0.0371507219279111,0.0263893076072756,0.0228110351737217,0.0265899864682003,0.0368980612883052,0.0852012115967114,0.0187928843710292,0.0207562568008705,0.0221199727334697,0.0351565946184385,0.0405885265615053,0.0800857843137255,0.0227738472798244
ABCB10,0.0742492917847025,0.0815711252653928,0.106936253861275,0.0809857691908175,0.0980403979499548,0.348391598382653,0.0780108254397835,0.0712945590994371,0.0788547526323381,0.073430749682338,0.0838683351468988,0.0677914110429448,0.068681076312307,0.0746127183985287,0.0718137254901961,0.103037326177116
ABCB7,0.0263739376770538,0.0225477707006369,0.0451558550968829,0.0313337488314117,0.0420661240076374,0.11899309407092,0.0247857465042851,0.0362726704190119,0.0231789989903361,0.0327700127064803,0.0213003264417845,0.0279141104294479,0.0166299073665637,0.0304024899200679,0.0316789215686274,0.0374115637960478
ABCB8,0.0538526912181303,0.0301910828025478,0.0552653748946925,0.067066583567051,0.0414631695307004,0.191702150499159,0.0464366260712675,0.0512820512820513,0.0416414250685129,0.0454764930114358,0.0528563656147987,0.044614860259032,0.0550066166740185,0.0404470538303742,0.0459252450980392,0.0439985362283484
ABCB9,0.0555524079320113,0.0399575371549894,0.0679022746419545,0.0456684325334995,0.0511104411616923,0.199860450137761,0.0513982859720343,0.0594121325828643,0.0387566709937978,0.0383608640406607,0.0463275299238303,0.0381390593047035,0.0355977062196736,0.0365565537242696,0.0385723039215686,0.0335081727250549
ABCC1,0.088413597733711,0.101953290870488,0.131367593372648,0.131364911187286,0.141453120289418,0.566304075571618,0.110938204781236,0.125078173858662,0.0941439492283283,0.0612325285895807,0.0822361262241567,0.0759713701431493,0.0850022055580062,0.104604937398316,0.0888174019607843,0.122554281532081
ABCC3,0.0487535410764873,0.0620382165605095,0.0844706543105869,0.0429676950244105,0.184865842628882,0.0445307188607006,0.1244700045106,0.0819262038774234,0.0354392038078754,0.0414104193138501,0.0370783460282916,0.0275732788002727,0.0722099691221879,0.032383108155903,0.0253982843137255,0.0461941937057819
ABCC4,0.0425212464589235,0.17244161358811,0.0968267340634653,0.0608341123922302,0.0610591900311526,0.270172111496762,0.0423770861524583,0.0662914321450907,0.0413529496610414,0.0294663278271919,0.0321817192600653,0.0241649625085208,0.0391265990295545,0.0509160359340737,0.0370404411764706,0.0430226884606001
