profiles_name,cell_type,cell_ontology_id,cell_ontology_term,parent_cell_ontology_id,parent_cell_ontology_term,otherwise_closest_cell_ontology_id,otherwise_closest_cell_ontology_term
ColonCRC_6k,B cell,CL:0000236,B cell,CL:0000945,lymphocyte of B lineage,NA,NA
ColonCRC_6k,Dendritic cell,CL:0000451,dendritic cell,CL:0000145,professional antigen presenting cell,NA,NA
ColonCRC_6k,Endothelial,CL:0000115,endothelial cell,NA,NA,NA,NA
ColonCRC_6k,Endothelial A,NA,NA,CL:0000115,endothelial cell,NA,NA
ColonCRC_6k,Endothelial B,NA,NA,CL:0000115,endothelial cell,NA,NA
ColonCRC_6k,Epithelial,CL:0000066,epithelial cell,NA,NA,NA,NA
ColonCRC_6k,Epithelial crypt,CL:1000321,large intestine crypt goblet cell,CL:1000320,large intestine goblet cell,NA,NA
ColonCRC_6k,Epithelial other,CL:0011108,colon epithelial cell,CL:0002253,epithelial cell of large intestine,NA,NA
ColonCRC_6k,Epithelial villi,CL:1000347,colonocyte,CL:0011108,colon epithelial cell,NA,NA
ColonCRC_6k,Glial,CL:0000125,glial cell,NA,NA,NA,NA
ColonCRC_6k,Immune,CL:0000738,leukocyte,NA,NA,NA,NA
ColonCRC_6k,Lymphoid,CL:0000542,lymphocyte,CL:0000842,mononuclear cell,NA,NA
ColonCRC_6k,Macrophage,CL:0000235,macrophage,CL:0000766,myeloid leukocyte,NA,NA
ColonCRC_6k,Malignancy,NA,NA,NA,NA,CL:0001064,malignant cell
ColonCRC_6k,Malignancy epithelial A,NA,NA,NA,NA,CL:0001064,malignant cell
ColonCRC_6k,Malignancy epithelial B,NA,NA,NA,NA,CL:0001064,malignant cell
ColonCRC_6k,Mast cell,CL:0000097,mast cell,CL:0000766,myeloid leukocyte,NA,NA
ColonCRC_6k,Monocyte,CL:0000576,monocyte,CL:0000766,myeloid leukocyte,NA,NA
ColonCRC_6k,Myeloid,CL:0000766,myeloid leukocyte,CL:0000738,leukocyte,NA,NA
ColonCRC_6k,Neutrophil,CL:0000775,neutrophil,CL:0000094,granulocyte,NA,NA
ColonCRC_6k,NK cell,CL:0000623,natural killer cell,CL:0001067,group 1 innate lymphoid cell,NA,NA
ColonCRC_6k,Pericyte,CL:0000669,pericyte,CL:0002320,connective tissue cell,NA,NA
ColonCRC_6k,Plasma,CL:0000786,plasma cell,CL:0000946,antibody secreting cell,NA,NA
ColonCRC_6k,Plasmablast,CL:0000980,plasmablast,CL:0000946,antibody secreting cell,NA,NA
ColonCRC_6k,Plasmacytoid dendritic cell,CL:0000784,plasmacytoid dendritic cell,CL:0000451,dendritic cell,NA,NA
ColonCRC_6k,Smooth muscle,NA,NA,CL:1000891,kidney arterial blood vessel cell,NA,NA
ColonCRC_6k,Stroma,CL:0000499,stromal cell,CL:0002320,connective tissue cell,NA,NA
ColonCRC_6k,Stroma A,NA,NA,CL:0000499,stromal cell,NA,NA
ColonCRC_6k,Stroma B,NA,NA,CL:0000499,stromal cell,NA,NA
ColonCRC_6k,Stroma B.1,NA,NA,NA,NA,CL:0000499,stromal cell
ColonCRC_6k,Stroma B.2,NA,NA,NA,NA,CL:0000499,stromal cell
ColonCRC_6k,Stroma C,NA,NA,CL:0000499,stromal cell,NA,NA
ColonCRC_6k,Stroma D,NA,NA,CL:0000499,stromal cell,NA,NA
ColonCRC_6k,T cell CD4,CL:0000624,CD4-positive alpha-beta T cell,CL:0000791,mature alpha-beta T cell,NA,NA
ColonCRC_6k,T cell CD8,CL:0000625,CD8-positive alpha-beta T cell,CL:0000791,mature alpha-beta T cell,NA,NA
ColonCRC_6k,T cell regulatory,CL:0000815,regulatory T cell,CL:0002419,mature T cell,NA,NA
ColonCRC_6k,Tissue,NA,NA,NA,NA,NA,NA
ColonCRC_6k,Conventional dendritic cell,CL:0000990,conventional dendritic cell,CL:0000451,dendritic cell,NA,NA
ColonCRC_6k,T cell,CL:0000084,T cell,CL:0000542,lymphocyte,NA,NA
