,B cell,Conventional dendritic cell,Endothelial A,Endothelial B,Epithelial crypt,Epithelial other,Epithelial villi,Glial,Macrophage,Malignancy epithelial A,Malignancy epithelial B,Mast cell,Monocyte,Neutrophil,NK cell,Pericyte,Plasma,Plasmablast,Plasmacytoid dendritic cell,Smooth muscle,Stroma A,Stroma B.1,Stroma B.2,Stroma C,Stroma D,T cell CD4,T cell CD8,T cell regulatory
A2M,0.0346619217081851,0.0892259615384615,0.241850723533892,0.998550724637681,0.00204012569494803,0.0187807276302852,0.00201072386058981,0.067307372274921,0.229739267482098,0.0116530404056831,0.0334011326473638,0.0560344104070499,0.0128676470588235,0.00125683634833824,0.00633187772925764,0.766655508059948,0.0989147171310783,0.0311765693185633,0.013135593220339,0.188704536166735,0.0488748241912799,0.0695897577092511,0.118181818181818,0.488455170657157,0.13219685515573,0,0.0459807073954984,0.0327631521310614
AAAS,0.0553024911032029,0.036213141025641,0.0333587204874334,0.0432065217391304,0.0256804447667392,0.0177974434611603,0.0122190142297381,0.0296971209851889,0.0416418268407168,0.0978754860361626,0.0846893196139427,0.0286739404112463,0.0183823529411765,0.0211348338241481,0,0.0393546891898851,0.0312645904733522,0.0258056394763343,0.00183615819209039,0.0187004495300368,0.0334036568213783,0.0109443832599119,0.0340754483611626,0.0374872643912379,0.0248488055639552,0.00277777777777778,0.037406216505895,0.0309671908537387
AAK1,0.0204270462633452,0.0319823717948718,0.0343107387661843,0.0514492753623188,0.0146579647087261,0.0128810226155359,0.0381006393070736,0.0335247129306041,0.0532908486655018,0.0800898889693816,0.0948990986679429,0.0206168694922367,0.0110294117647059,0.00598969289019773,0.00487627365356623,0.0266338775299995,0.0312149207768341,0.0153994629070158,0.00466101694915254,0.0172292603187577,0.0109001406469761,0.00681442731277533,0.0252112966398681,0.0166008660213958,0.0278726942848503,0.00277777777777778,0.0655412647374062,0.051204608173814
AAMP,0.0560142348754448,0.0443541666666667,0.0523990860624524,0.0902173913043478,0.0665796470872613,0.0502458210422812,0.0570736234275108,0.109993343318356,0.0787131257066502,0.419923416963586,0.399278136715323,0.0405077633235418,0.0229779411764706,0.021029659234329,0.0121542940320233,0.0659808415306175,0.0525232205831222,0.0404078549848943,0.0300847457627119,0.0298978340825501,0.0277777777777778,0.0412307268722467,0.0889095031952175,0.0638499745287825,0.0435969156335047,0,0.0481243301178992,0.0359608392833676
AARS1,0.040355871886121,0.0363733974358974,0.0501142421934501,0.0779891304347826,0.0294029489968576,0.0236971484759095,0.00861002268508971,0.0667665168913297,0.0614109021139548,0.187675749197948,0.257338278695063,0.0355560218212337,0.0190716911764706,0.0145088346655448,0.00633187772925764,0.0518694958026472,0.0589306114339641,0.0640735146022155,0.00748587570621469,0.0298569677155701,0.0249648382559775,0.0211316079295154,0.0528344671201814,0.0418173713703515,0.0428409434532809,0.00277777777777778,0.0347266881028939,0.0291274256428227
AASS,0.0225622775800712,0.0163733974358974,0.0384996191926885,0.04375,0.0136910804931109,0.00304818092428712,0.00345432047844916,0.0149692128473956,0.0204337547538288,0.0144916394387853,0.0182061099146526,0.0160008392782207,0.0078125,0.00851388304585612,0.00778748180494905,0.0464618633156512,0.0155192966770973,0.00767875125881168,0,0.0247895382100531,0.0446554149085795,0.0208562775330396,0.0177901463615749,0.0535341314314824,0.0340716661626852,0,0.0229367631296892,0.0123943230102063
ABAT,0.0104626334519573,0.00672596153846154,0.00613099771515613,0.00634057971014493,0.00503746676335509,0.00599803343166175,0.0066508558465663,0,0.0080652345222188,0,0.0052045944005743,0.00945446915652539,0.00459558823529412,0.00493794699200673,0.0106986899563319,0.00428232991708297,0.00156211195549595,0.000125881168177241,0,0.00206783816918676,0.00105485232067511,0.00185848017621145,0.00665842094413523,0.00386525725929699,0.00428636226186876,0,0.0090032154340836,0.00985369486179859
ABCA1,0.000498220640569393,0.0177516025641026,0.00613099771515613,0.0116847826086957,0.0013633067440174,0.00304818092428712,0.00242318003712105,0.0154684639707106,0.0801863843491966,0.0258312512012301,0.0160126026960198,0.0176793957196811,0.0174632352941176,0.00735696255784602,0.00924308588064046,0.00943245609517433,0.011545720955645,0.000797247398455856,0.00183615819209039,0.0113036371066612,0.00105485232067511,0.00323513215859031,0.022737579880437,0.0174923586347427,0.0103341397036589,0,0.00230439442658092,0.00249463401813483
ABCA2,0.0111743772241993,0.00195032051282051,0.00632140137090632,0.00615942028985507,0.00716461203770848,0.00304818092428712,0.00902247886162095,0.00768846729905142,0.00292596018775482,0.048392199766407,0.0619167264895908,0.00357952161141419,0,0.00378102650399663,0.000509461426491994,0.00242828449297008,0.00677743008990215,0.00868580060422961,0.00748587570621469,0.0010053126277074,0,0.00461178414096916,0.00851370851370851,0.0112519103413143,0.00791502872694285,0.0166666666666667,0.0229367631296892,0.0109925971352227
ABCA5,0.0182918149466192,0.00909775641025641,0.0196496572734196,0.0146739130434783,0.0425042301184433,0.0217305801376598,0.0810991957104558,0.0120985188883342,0.014746291157022,0.0515264861987906,0.0565326633165829,0.00937054133445237,0.000689338235294117,0.00325515355490114,0,0.0200932172838235,0.0227214026722297,0.0368831822759315,0.00183615819209039,0.00860645688598283,0.0193389592123769,0.00819107929515418,0.0122242836528551,0.0205489047376465,0.0181962503779861,0.00277777777777778,0.0382100750267953,0.0159862455648517
ABCB1,0.0204270462633452,0.0119182692307692,0.0316450875856816,0.0585144927536232,0.00943678994440416,0.0335299901671583,0.0749123530624871,0.0102679314361791,0.0126563195943399,0.022623042919026,0.0177275265214964,0.00911875786823332,0.00735294117647059,0.00714661337820783,0,0.0110289952103827,0.0116450603486813,0.00297918764686136,0.0300847457627119,0.00545974662852472,0.00386779184247539,0.00653909691629956,0.0120181405895692,0.0134169638308711,0.0135092228605987,0.00972222222222222,0.0355305466237942,0.0220749923343116
ABCB10,0.0161565836298932,0.0187772435897436,0.0164127951256664,0.0278079710144928,0.0103069857384578,0.0079646017699115,0.00603217158176944,0.0220419370943585,0.0260184328639463,0.101867265926463,0.0992462311557789,0.0142383550146874,0.0133272058823529,0.00819835927639882,0,0.0200417160220425,0.0108006755078726,0.00365055387713998,0.00183615819209039,0.00709440130772374,0.00808720112517581,0.00488711453744493,0.0208822923108637,0.0171102903718798,0.00988055639552464,0,0.0194533762057878,0.0170813439046826
ABCB7,0.0125978647686833,0.00342467948717949,0.00479817212490479,0.0143115942028986,0.00943678994440416,0.00206489675516224,0.00685708393483192,0.0123481444499917,0.00974406413814369,0.0797498484602079,0.0552963228842626,0.00299202685690306,0.000689338235294117,0,0.00342066957787482,0.00500334758201576,0.00339989072666766,0.000293722725746895,0.00748587570621469,0.00210870453616673,0.00386779184247539,0.000757158590308369,0.0012987012987013,0.0015728476821192,0.00398397338977926,0,0.0103429796355841,0.00503526216654255
ABCB8,0.0289679715302491,0.0198349358974359,0.0234577303884235,0.0254528985507246,0.017897026831037,0.0128810226155359,0.0141781810682615,0.0287402229988351,0.0257786000616713,0.124383861381747,0.14128180585467,0.0311917750734368,0.0114889705882353,0.00925010517458982,0.00633187772925764,0.0228742854199928,0.0192445239159589,0.0155673044645854,0.00748587570621469,0.0108132407029015,0.0221518987341772,0.0090170704845815,0.0260358688930117,0.0297185430463576,0.0195570003023889,0.00277777777777778,0.0258842443729904,0.0251850716194314
