,B cell,Dendritic cell,Endothelial,Fibroblast,Macrophage,Mast cell,Monocyte,Neutrophil,NK cell,Plasma,Plasmablast,Plasmacytoid dendritic cell,T cell CD4,T cell CD8,T cell regulatory
AATK,0.00227296975827963,0.00819485558892884,0.0264308058226111,0.000263233588626614,0.0229243630622994,0.000391825592272299,0.0168246259178168,0.0397037893291912,0.00299684205178393,0,0.00638907248292576,0.00635205463322737,0.00335781432604905,0.00200047046580871,0.00858967991197273
ABL1,0.033506545852581,0.0286058207621475,0.109667478211606,0.0840909170308276,0.0468015345236583,0.0431012924040242,0.0256731664832041,0.00703391973413286,0.0313969843065215,0.0315540907542601,0.0248402731879269,0.0264862828211468,0.0157746112533641,0.0387047155581686,0.0258945621569959
ABL2,0.0370353393055429,0.0492456084148865,0.181467227666438,0.0826084813127313,0.0908441129732646,0.0434640054979669,0.0521038720681271,0.0210352924177293,0.032870336945855,0.0252862346525751,0.0273738708966733,0.0262178264453079,0.046470583543409,0.0449684041075164,0.0484813890576478
ACE,0.0115078973053928,0.00622698226505351,0.105143746016552,0.00432456660072457,0.0415148422677127,0.00556048718095565,0.012227981468265,0,0,0,5.50782110597045e-05,0.0170903096667844,0.00624798773645367,0.00120601998960079,0.00214661800397464
ACKR1,0.000771355522976677,0.00476251839612302,0.251039908963705,0,0,0,0.0192378642538315,0.0199371455405845,0.00436858416426679,0,0,0.00178829624396562,0.00817111271329007,0.00227780733951332,0.00014596713654183
ACKR3,0.0171389506877788,0.0108034318554613,0.15977651175682,0.0402029527862921,0.032294787659664,0.00846219193249718,0.024064340925861,0.0117010439619983,0.00828058944801419,0.0139457880313868,0.0261070720423001,0.00617308371600141,0.0259831684085432,0.00485138141866138,0.010624591406382
ACKR4,0.022319519799574,0.012405189212104,0.0186824645244159,0.0188932466429113,0.0212544647598974,0.0134494969742092,0.0149859681379961,0.0162308998302207,0.0107192420924281,0.00566638741334708,0.0150914298303591,0.00742588013658307,0.0241058244482303,0.0233500870036328,0.0170639251808704
ACTA2,0.0306534788055054,0.0769331284368534,0.435932963294889,0.782337807726392,0.268850523483335,0.137769409923067,0.0817522287677364,0.032703102987393,0.0941414846367557,0.0957485983631459,0.0528750826173166,0.0582536206287531,0.158239133179241,0.182013445096127,0.233707470993488
ACTG2,0.00129692050533271,0.0214207949052073,0.00826628116247097,0.119573495338097,0.0533861572136983,0.0218825764083768,0.0388885192756656,0.00730845645341907,0.0334800001069585,0.0228373978500563,0,0.0618330389732721,0.00947929996216964,0.0270090869221538,0.0355061610510275
ACVR1,0.015186852181885,0.0155171749335813,0.0496294324639139,0.050476748583845,0.0419976090755161,0.0411063703873394,0.0185483675863988,0.00593577285698805,0.00863622629199122,0.0251113177381095,0.023132848645076,0.0145847168256211,0.011569723262944,0.0245493670903886,0.0219996729398623
ACVR1B,0.0233706497642861,0.0203682114994135,0.0440153648167186,0.0336315586329399,0.0473159581713177,0.0558869289655041,0.0408420931667251,0.0572741393635083,0.013665947371095,0.0196014349324422,0.000220312844238818,0.0243386318144354,0.0104509267180691,0.0245557297739131,0.00792110248054346
ACVR2A,0.0338068686996416,0.011261076814502,0.0373109617173821,0.0621887282870136,0.0346927932787531,0.0263258118091747,0.0149859681379961,0.00140591698876567,0.0141740000053479,0.0226624809355907,0.046265697290152,0.00706793830213117,0.0219568261381567,0.0138296503140964,0.02672501857697
ACVRL1,0.0210431476995665,0.0196359795649483,0.321146158673722,0.0455869233047512,0.0411587028193332,0.0291368382872306,0.0282013209304576,0.0239179279702344,0.0222520368899692,0.00933964261712529,0.0057281339502093,0.00823124926409985,0.0170797151670204,0.0212261164575441,0.0241740823901889
ADGRA2,0.0242716183054679,0.0348755567010061,0.187893247246079,0.157086740151416,0.0521911115091357,0.0644106866731573,0.0260179148169205,0.0255651482859517,0.0218964000459921,0.031787313306881,0.0193875302930161,0.0140478040739433,0.0266164451725162,0.0263533522819357,0.0338497509543508
ADGRA3,0.0102315252053853,0.0146934140073079,0.0362670235185235,0.0714914426440225,0.0310839135351735,0.0274139510910028,0.00992965924348909,0.0119755806812845,0.0115321263072328,0.0126339111728946,0.0144304912976427,0.0145847168256211,0.0175605364149074,0.0134871922316421,0.00985520931166061
