,Ascending vasa recta endothelium,B cell,Connecting tubule,Dendritic cell,Descending vasa recta endothelium,Distinct proximal tubule A,Distinct proximal tubule B,Epithelial progenitor,Fibroblast,Glomerular endothelium,Macrophage,Mast cell,Mesangial cell,MNP-a/classical monocyte derived,MNP-b/non-classical monocyte derived,Myofibroblast,Neutrophil,NK cell,NKT cell,Pelvic epithelium,Peritubular capillary endothelium A,Peritubular capillary endothelium B,Plasmacytoid dendritic cell,Podocyte,Principal cell,Proliferating proximal tubule,Proximal tubule,Smooth muscle,T cell CD4,T cell CD8,Thick ascending limb of Loop of Henle,Transitional urothelium,Type A intercalated cell,Type B intercalated cell
AATK,0.0109875830205025,0.006558198407257,0.0208935018050542,0.0107662954598552,0.0164690939881456,0.00691839837810442,0.0243961352657005,0.00745607333842628,0.00803191489361702,0.0258109436435125,0.00266110413544494,0,0.00707636778115502,0.0149340125028942,0.015884610622756,0.00518696518579299,0.0167060212514758,0.0218064516129032,0.0078718609143593,0,0.0128299256505576,0.0284058431248015,0.0177536231884058,0.00710436060754532,0.0193307960672375,0,0.00840709926258701,0.0156388888888889,0.00771100078390384,0.00877852697095436,0.00443913688025037,0,0.0218773096821877,0.0113777940637596
ABL1,0.06224371931851,0.0252808396181636,0.153564981949458,0.0275874153103341,0.0630397967823878,0.215315087007941,0.106521739130435,0.125459638400815,0.0759397163120567,0.0356405635648755,0.0282595487869091,0.0453125,0.0549487082066869,0.0434128270432971,0.051169988857249,0.0695404993552925,0.00726092089728453,0.0406451612903226,0.0326625885383129,0,0.0348559479553903,0.0668307399174341,0.0829710144927536,0.0644292013718765,0.131921979067555,0,0.0235839158255627,0.0678611111111111,0.0232322968382545,0.0318594398340249,0.0507247570416735,0,0.0938162108893816,0.0985892268230121
ABL2,0.075526999711233,0.0261774168029112,0.0813628158844765,0.0265750330971108,0.0672734970364098,0.0907163372191249,0.0702898550724638,0.0720855614973262,0.0755851063829787,0.0346576015727392,0.0252622625460731,0.084375,0.0340520516717325,0.0431812919657328,0.0656555651850935,0.037656781151096,0.0379574970484061,0.0504516129032258,0.0342723760463619,0,0.0289079925650558,0.0715941568751985,0.0351449275362319,0.0286624203821656,0.0864097684744688,0,0.0128847773722088,0.0280462962962963,0.0318029788345963,0.03211877593361,0.0289820457914676,0.225,0.0716432618871643,0.0784353242946134
ACE,0.000158821830782557,0.00012393861083276,0.00194043321299639,0.0057043843937388,0.0164690939881456,0.0233907754688292,0.0195652173913043,0.00358543417366947,0.000762411347517727,0,0.00788610312284823,0,0,0.00914563556378791,0.0244273864058438,0.00436642832024382,0.00844155844155844,0.0130322580645161,0,0,0.0016775092936803,0.00204826929183868,0.00471014492753623,0.00146986771190593,0.0056929908024104,0,0.00624953819326428,0,0.00556833028481839,0.0022951244813278,0.000980069181353977,0,0.000443458980044345,0.0113777940637596
ACE2,0.0317788045047647,0.0200068561784716,0.0542870036101083,0.0350634685772136,0.0122353937341236,0.553041054232134,0.326328502415459,0.127344028520499,0.0287765957446809,0.0251556356487549,0.0182955972295354,0.06875,0.0199943009118541,0.0725862468163927,0.0325987371548842,0.0249970695111945,0.0592089728453365,0.0483870967741936,0.0323406310367031,0,0.0229600371747212,0.0325341378215306,0.0778985507246377,0.0641842234198922,0.0405803996194101,0,0.110255803987055,0.0143425925925926,0.0287718839822315,0.0316001037344398,0.0302997858672377,0,0.0982508006898251,0.207420300476365
ACKR1,0.510843199537973,0.00450134486577712,0,0.0113114243438984,0.0537256562235394,0,0.0243961352657005,0,0.00838652482269503,0.00402195281782438,0.00505083235448986,0,0.0144851823708207,0.0109979161843019,0.0355701374272626,0,0.014344746162928,0.0290322580645161,0.0323406310367031,0,0.0912685873605948,0.114464909495078,0.0206521739130435,0,0,0,0,0,0.00645675463809773,0.00540715767634855,0,0,0,0
ACKR3,0.0654201559341611,0.00481778387215864,0.0365373044524669,0.00656101549723542,0.0367908552074513,0.0249113025848961,0.0243961352657005,0.0144843391902215,0.0142375886524823,0.0107388597640891,0.00399773178338531,0,0.0135353343465046,0.0167862931234082,0.0122941686269655,0.0123373578712929,0.0025383707201889,0.0174193548387097,0.00433032839665164,0.16,0.0186849442379182,0.052540489044141,0.0329710144927536,0.0134737873591377,0.0933872502378687,0,0.00589487062022492,0.0382314814814815,0.00917428795401097,0.00903786307053942,0.0050980069181354,0.225,0.0154717910815472,0.0168743129351411
ACKR4,0.0293242853017615,0.0113047835029798,0.0374398315282792,0.0139591932092516,0.0122353937341236,0.0649518499746579,0.0219806763285024,0.0358237840590782,0.0211524822695035,0.0204046526867628,0.00974928105634088,0,0.0184745440729483,0.0255846260708497,0.0240559613717965,0.0177294572734732,0.0285123966942149,0.0298064516129032,0.0165647134578236,0,0.0105994423791822,0.0201492537313433,0.0257246376811594,0.0298873101420872,0.05104662226451,0,0.0123379981971065,0.0104537037037037,0.015340998170891,0.0188926348547718,0.0190989952231922,0.475,0.0420793298842079,0.00734701355807989
ACTA2,0.0694628934449899,0.0680001054796688,0.0160800240673887,0.0694065882719414,0.0444115156646909,0.101106605845582,0.0364734299516908,0.0158594346829641,0.559804964539007,0.0372788335517693,0.0745959739155089,0.06875,0.488839285714286,0.119587867561936,0.12149312863687,0.697837299261517,0.00962219598583235,0.0406451612903226,0.0500482936252415,0.16,0.0418262081784387,0.080485868529692,0.114130434782609,0.0296423321901029,0.0131462099587694,0,0.0226676912618777,2.17008333333333,0.0490488633394304,0.0497536307053942,0.00773348706967551,0,0.0194136486819414,0.0132099670208868
ACVR1,0.0320675714698239,0.0152075312483519,0.0675240673886883,0.018787477610778,0.0122353937341236,0.109216083797939,0.0727053140096618,0.084410491469315,0.0420744680851064,0.0156536697247706,0.0184171088338936,0.06875,0.0264532674772036,0.0309099328548275,0.0309892286740126,0.032381901301137,0.0178866587957497,0.0292903225806452,0.0181745009658725,0,0.0205436802973978,0.0306287710384249,0.033695652173913,0.0237628613424792,0.0467649857278782,0,0.0218992448536257,0.0128611111111111,0.0238594199111576,0.0212266597510373,0.0352413111513754,0,0.0817442719881744,0.0784353242946134
