,B cell,Endothelial,Fibroblast,Glomerular endothelium,Macrophage,Malignancy A,Malignancy B,Mast cell,Mesangial cell,Monocyte,Myofibroblast A,Myofibroblast B,Neutrophil,NK cell,Pelvic epithelium,Plasma,Plasmablast,Podocyte,Principal cell,Smooth muscle,T cell,Transitional urothelium,Tubule,Type A intercalated cell
A2M,0.0673452577076959,1.57033224622911,1.66775355450237,0.367796610169492,0.299449035812672,0.113262496773638,0.230336599914785,0.0975903614457831,0.31728525980912,0.151289728235836,0.984621890547264,0.327467509659291,0.0834128878281623,0.154136758594635,0,0.191581108829569,0.216102280580511,0.0416379310344828,0,0.615821812596006,0.0816587725486244,0,0.0621278798860989,0
AAAS,0.0522828900917863,0.053821850794945,0.0730616113744076,0.00056497175141243,0.0294765840220386,0.188286156758152,0.154921175969323,0.0253012048192771,0.0419229409685401,0.0370566559189314,0.0449203980099502,0.0338250790305585,0.014200477326969,0.039289761994711,0,0.0437371663244353,0.0378023496890117,0.0312931034482759,0,0.030184331797235,0.0394336390204575,0,0.101734403313487,0.0185714285714286
AAK1,0.0167451164979995,0.0348654708520179,0.0503127962085308,0.00621468926553672,0.0355371900826446,0.0853006968940893,0.0628887942053686,0.00120481927710843,0.0207140332272888,0.0250806080147398,0.022134328358209,0.0181945907973305,0.0261336515513126,0.0415564790328674,0,0.0416837782340862,0.0191430545957153,0.00198275862068965,0.19,0.0136712749615975,0.0594880580469616,0.0380952380952381,0.0758477866942791,0.0757142857142857
AAMP,0.0525182395857849,0.086944557684468,0.129175355450237,0.00621468926553672,0.0393939393939394,0.264084143508561,0.175372816361312,0.0253012048192771,0.0440438317426653,0.0513357899585445,0.0566616915422886,0.0394450298559888,0.014200477326969,0.0574234982999622,0,0.0714579055441478,0.0612992398064962,0.0537068965517241,0,0.0562980030721966,0.0421545903456616,0,0.166968677193891,0
AARS1,0.0271004942339374,0.0503567060741949,0.0700284360189573,0.0570621468926554,0.0173553719008264,0.117650348447045,0.0509586706433745,0.0253012048192771,0.0238953693884765,0.0186319668355597,0.0369601990049751,0.0236389181594661,0.00704057279236277,0.022289384208538,0,0.0550308008213552,0.0526606772633034,0.0330172413793103,0,0.0232718894009217,0.0298599213947395,0.0380952380952381,0.0913797566658038,0
AASS,0.0275711932219346,0.0624847125968202,0.0954312796208531,0.0175141242937853,0.0140495867768595,0.300993719349566,0.168129527055816,0.0132530120481928,0.0574761399787911,0.00435283279594657,0.127905472636816,0.0424306287319986,0.00704057279236277,0.027956176803929,0,0.0447638603696099,0.0388389771941949,0.148534482758621,0,0.030952380952381,0.0190768920689308,0.0380952380952381,0.0499611700750712,0.0471428571428571
ABAT,0.0195693104259826,0.0120362821035467,0.00917535545023697,0.011864406779661,0.00991735537190083,0.0975178525337692,0.0432893054963783,0.00120481927710843,0.00622127960410039,0.011262091202211,0.00790547263681592,0.00642781875658588,0,0.00944465432565168,0,0,0.0115411195577056,0.0175,0,0.0033026113671275,0.010813262118311,0,0.00983691431529899,0.0185714285714286
ABCA1,0.00921393269004471,0.0196799836934366,0.0332511848341232,0,0.0388429752066116,0.450955003011271,0.369237324243715,0.0132530120481928,0.00339342523860021,0.00297098111469369,0.0180547263681592,0.0102915349490692,0.0094272076372315,0.00793350963354741,0,0.00677618069815195,0.00739460953697305,0.00887931034482758,0,0.00253456221198157,0.0035573919177668,0,0.0116489774786435,0
ABCA2,0.0110967286420334,0.0230432123929882,0.0237725118483412,0,0.00633608815426997,0.116789985373828,0.0974009373668513,0.0373493975903614,0.00657476139978791,0.011262091202211,0.0130796019900498,0.0055497014401124,0,0.0321118247072157,0.2,0.0211498973305955,0.0174153420870767,0.0157758620689655,0,0.00714285714285714,0.0284490577446337,0,0.0484079730779187,0.0185714285714286
ABCA5,0.019333960931984,0.0114247859763555,0.0142938388625592,0,0.0115702479338843,0.141310332960509,0.0637409458883681,0.00120481927710843,0.00551431601272535,0.0089590050667895,0.0148706467661692,0.0099402880224798,0,0.0219115980355119,0,0.0129363449691992,0.0191430545957153,0.020948275862069,0,0.0167434715821813,0.0162551647687191,0.0857142857142857,0.0675640693761325,0.19
