num_cells,cell_type
6926,Ascending vasa recta endothelium
18961,B cell
3324,Connecting tubule
12841,Dendritic cell
1181,Descending vasa recta endothelium
11838,Distinct proximal tubule A
414,Distinct proximal tubule B
19635,Epithelial progenitor
5640,Fibroblast
6104,Glomerular endothelium
24689,Macrophage
128,Mast cell
5264,Mesangial cell
4319,MNP-a/classical monocyte derived
8077,MNP-b/non-classical monocyte derived
8531,Myofibroblast
847,Neutrophil
3875,NK cell
3106,NKT cell
5,Pelvic epithelium
10760,Peritubular capillary endothelium A
3149,Peritubular capillary endothelium B
1380,Plasmacytoid dendritic cell
4082,Podocyte
6306,Principal cell
5,Proliferating proximal tubule
67669,Proximal tubule
5400,Smooth muscle
19135,T cell CD4
3856,T cell CD8
6071,Thick ascending limb of Loop of Henle
4,Transitional urothelium
4059,Type A intercalated cell
2729,Type B intercalated cell
