,B cell,Central venous LSEC,Cholangiocyte,Erythroid,Hepatocyte A,Hepatocyte B,Hepatocyte C,Hepatocyte D,Hepatocyte E,Inflammatory macrophage,NK like cells,Non-inflammatory macrophage,Periportal LSEC,Portal endothelial cells,Stellate cell,T cell CD3 alpha beta,T cell gamma delta
AATK,0.0607694079705137,0.0626811594202898,0.0781726949613213,0.0652298850574713,0.0102626123013131,0.0509777192817524,0.0368096065779344,0.0259072693487362,0.00114830988193433,0.0692621557293438,0.102870639534884,0.0493511929677689,0.0627815222751932,0.0411545623836127,0.041560490231768,0.0811987704918033,0.0641622131405219
ABL1,0.0437226445519466,0.0595108695652174,0.081099728204056,0.0451149425287356,0.0270214236351071,0.0469822318322835,0.0720247307475575,0.036541518346878,0,0.0393403604216253,0.054905523255814,0.0485140226035998,0.0534111458162091,0.0467411545623836,0.0797840067952918,0.053681206088993,0.0547312165985539
ABL2,0.0241419027873762,0.0413949275362319,0.0426301484424002,0.0115900383141762,0.0265607002994702,0.0435038074645107,0.0734850829781661,0.0346721293124678,0,0.028629717783067,0.0258357558139535,0.024445374633738,0.0289166529672859,0.0113594040968343,0.0353112486348744,0.0308474824355972,0.0346117573090223
ACACB,0.0434922828841281,0.0631340579710145,0.0551745766255488,0.0594827586206896,0.254100437687169,0.244594340509542,0.665864266609522,0.376065103991761,0.0249231764515607,0.0444406664399864,0.0378270348837209,0.0513394725826706,0.0445339470655926,0.039292364990689,0.0833029972090766,0.0465822599531616,0.0585036152153411
ACE,0.0287491361437457,0.0579257246376812,0.0436755174576626,0.0297892720306513,0.00329417184980419,0.0314233336467049,0.0150313102692921,0.0122282669532317,0,0.0304998299897994,0.0334665697674419,0.0648388447048974,0.0466710504685188,0.0337057728119181,0.0672248513529911,0.0408738290398126,0.0352404904118202
ACKR1,0.0328956461644782,0.0302989130434783,0.0497386577461844,0.0317049808429119,0.00646164478230823,0.0249365422581555,0.0103327857012469,0.00715740927306513,0,0.0354301258075485,0.0338299418604651,0.0283172875680201,0.0226697353279632,0.0243947858472998,0.0198398252639243,0.0500219555035129,0.026752593524049
ACKR3,0.0573139829532366,0.0701539855072464,0.0806815805979511,0.0518199233716475,0.0390002303616678,0.0768308733665507,0.118708381945602,0.0621420735666152,0.0114992721979622,0.0680720843250595,0.0759811046511628,0.0458978652155714,0.120976491862568,0.149162011173184,0.0629171217085305,0.0822233606557377,0.0805092738132663
ACKR4,0.0513245795899562,0.0798913043478261,0.0677190048086975,0.0441570881226054,0.0117023727251785,0.0538920748331296,0.0408970054842576,0.0267692032149014,0.00179524502668607,0.0662019721183271,0.0596293604651163,0.0582461280870657,0.0493013315798126,0.0541899441340782,0.0553937628928528,0.0691964285714286,0.0739075762338887
ACP5,0.157060585118636,1.47889492753623,0.0946895254024671,0.154310344827586,0.110873070721032,0.161018144213594,0.12584347246363,0.138820605816375,0.0433608280769853,0.162087725263516,0.175181686046512,0.141125994139807,0.0876048002630281,0.497392923649907,0.108846013833273,0.201661299765808,0.187708267840302
ACTA2,0.116977654918222,0.0552083333333333,0.0687643738239598,0.0843869731800766,0.0127390002303617,0.0710021622637962,0.0171662817368667,0.0659704032059462,0.0385088144913472,0.088813328799728,0.0585392441860465,0.0538509836751779,0.679089265165215,0.0988826815642458,0.857116854750637,0.070221018735363,0.0559886828041496
ACTG2,0.0110112877217231,0.0185235507246377,0.0171231444699979,0.0068007662835249,0,0.00279684121462818,0,0,0,0.0185991159469568,0.0272892441860465,0.0107367099204688,0.0172447805359198,0.0113594040968343,0.0178376410629778,0.0222116510538642,0.0160641307764854
ACVR1,0.0423404745450357,0.0536231884057971,0.0836086138406858,0.0374521072796935,0.059675190048376,0.0768308733665507,0.148534488916403,0.0889627689345602,0.0111758046255863,0.0600816048962938,0.0498183139534884,0.0502930096274592,0.0537399309551208,0.0374301675977654,0.0853658536585366,0.0530957259953162,0.0547312165985539
ACVR1B,0.0513245795899562,0.0653985507246377,0.0959439682207819,0.0441570881226054,0.0455079474775397,0.0604258719563787,0.131081692421248,0.0729890075447198,0.0103671356946466,0.0551513090785447,0.0567223837209302,0.0525952281289242,0.0507808647049153,0.039292364990689,0.0542409901710957,0.0624634074941452,0.0556743162527507
ACVR2A,0.0409583045381249,0.0509057971014493,0.0792180639765837,0.0307471264367816,0.0582354296245105,0.0456190655259942,0.0791995047501131,0.071097230617682,0.0114992721979622,0.0441006460387623,0.0378270348837209,0.0396190874843031,0.0387802071346375,0.0635009310986965,0.0794806455527242,0.0432889344262295,0.0493869852247721
ACVRL1,0.0630730246486985,0.0909873188405797,0.0635375287476479,0.0566091954022988,0.0207440681870537,0.065126445426342,0.0515083692468868,0.0340116864799516,0.0014717774543102,0.0680720843250595,0.0578125,0.154625366262034,0.127880979779714,0.0560521415270019,0.0627351049629899,0.0741730093676815,0.0632191134863251
ADGRA2,0.0964754664823773,0.0941576086956522,0.107024879782563,0.089176245210728,0.0341050449205252,0.0659255429162358,0.0407858917275808,0.0542951172006179,0.0126314087012777,0.0969738184291057,0.0836119186046512,0.0588740058601925,0.275998684859444,0.0858472998137803,0.298325445941027,0.0921765222482436,0.0792518076076705
ADGRA3,0.0114720110573601,0.0248641304347826,0.0380305247752457,0.0115900383141762,0.0590992858788298,0.11283726614647,0.512455852123463,0.279483735196006,0.0328481319747695,0.0187691261475689,0.0145712209302326,0.0172247802427794,0.0101759000493178,0.0337057728119181,0.0275452008251426,0.0164300351288056,0.0273813266268469
ADGRE2,0.0280580511402903,0.0241847826086956,0.0225590633493623,0.0125478927203065,0,0.0210350662780859,0.00542790701365906,0.00164998768665905,0.000824842309558465,0.0466507990479429,0.0316497093023256,0.0540602762662202,0.0111622554660529,0.00204841713221601,0.0176556243174372,0.0377268735362998,0.0276956931782458
