,B cell,Central venous LSEC,Cholangiocyte,Erythroid,Hepatocyte A,Hepatocyte B,Hepatocyte C,Hepatocyte D,Hepatocyte E,Inflammatory macrophage,NK-like cell,Non-inflammatory macrophage,Periportal LSEC,Portal endothelial cells,Stellate cell,T cell CD3 alpha beta,T cell gamma delta
A2M,0.0616926503340757,0.236880290205562,0.0558995815899582,0.0773794808405439,1.85473858137614,1.4295253252145,0.373810837655888,0.2546,0.607359327358403,0.0256890459363958,0,0.077427652733119,0.335376213592233,0.0609756097560976,0.439201626712329,0.0516169724770642,0.0720657276995305
AAAS,0.0149220489977728,0.0288996372430472,0.0550627615062761,0.0266996291718171,0.042393485188245,0.058642402435649,0.0618143692749145,0.0508857142857143,0.0363531368382149,0.0256890459363958,0,0.034983922829582,0.0255056634304207,0,0.0278146404109589,0.0275344036697248,0.040245174752217
AAK1,0.0394209354120267,0.0264812575574365,0.0341422594142259,0.0489493201483313,0,0.00619291447550512,0.0109369826729942,0.0114571428571429,0,0.0143816254416961,0.0475609756097561,0.0317684887459807,0.0348098705501618,0,0.0117615582191781,0.00299311926605504,0.0866718831507564
AAMP,0.0349665924276169,0.00350665054413543,0.0642677824267782,0.0217552533992583,0.035666233919509,0.0362233600885691,0.0380863039399625,0.0246,0.0278527210570082,0.0461837455830389,0,0.0407717041800643,0.0497775080906149,0,0.0412992294520548,0.0174426605504587,0.0522430881585811
AARS1,0.0149220489977728,0.0349455864570738,0.0709623430962343,0.0378244746600742,0.0540776584444707,0.0742803764184888,0.083335172718243,0.0923142857142857,0.0607456342973298,0.0179151943462897,0,0.0195498392282958,0.0323826860841424,0.0203252032520325,0.0415132705479452,0.0243233944954128,0.0329420970266041
AASS,0.0126948775055679,0.0228536880290206,0.0341422594142259,0.00815822002472188,0.040977221763248,0.0694367561583172,0.0638009049773756,0.0471714285714286,0.0347824078351658,0.00307420494699647,0,0.00797427652733119,0.0210558252427184,0,0.028884845890411,0.00849770642201835,0.0235524256651017
ABAT,0.0149220489977728,0.00713422007255139,0.0148953974895397,0.0365883807169345,0.157228844565089,0.180840022142264,0.128473678401942,0.112314285714286,0.107128337799131,0.0207420494699647,0.0231707317073171,0.0156913183279743,0.00527912621359223,0,0.0402290239726027,0.029598623853211,0.0204225352112676
ABCA1,0.0216035634743875,0.0180169286577993,0.0157322175732218,0.01557478368356,0.036964475392423,0.0661154165513424,0.0522127800463525,0.0283142857142857,0.0286842834703871,0.0066077738515901,0,0.0684244372990354,0.00891990291262136,0.0203252032520325,0.0224636130136986,0.00826834862385321,0.00842462180490349
ABCA2,0.0126948775055679,0.00229746070133011,0.04,0.0131025957972806,0,0,0,0,0,0.00378091872791519,0.0475609756097561,0,0.0137742718446602,0,0.00405607876712329,0.00780963302752294,0.0371152842983829
ABCA5,0.0193763919821826,0.0155985489721886,0.039163179916318,0.00321384425216317,0.0921987489673079,0.17987129809023,0.212128904094471,0.165171428571429,0.087355631525455,0,0.0231707317073171,0.0105466237942122,0.0153923948220065,0.00406504065040651,0.022677654109589,0.0240940366972477,0.0204225352112676
ABCB1,0.0416481069042316,0.0119709794437727,0.337071129707113,0.0440049443757726,0.123828632125575,0.123685303072239,0.0718574108818011,0.0686,0.0723875080846346,0.0355830388692579,0.0231707317073171,0.0156913183279743,0.0234830097087379,0,0.0344499143835616,0.0208830275229358,0.0710224308815858
ABCB10,0.0394209354120267,0.00834340991535671,0.0224267782426778,0.0168108776266996,0.0386167827215862,0.0591959590368115,0.0612625538020086,0.0531714285714286,0.0444839693245865,0.0221554770318021,0,0.0304823151125402,0.0246966019417476,0,0.022677654109589,0.0121674311926606,0.0292905581637976
ABCB7,0.00824053452115813,0.00108827085852479,0.0215899581589958,0.00321384425216317,0.026224477752862,0.0212773318571824,0.0167862266857963,0.0257428571428571,0.019167513628384,0.00166077738515901,0,0.00154340836012861,0.0129652103559871,0,0.0104773116438356,0.000699541284403669,0.00320813771517997
ABCB8,0.00155902004454343,0.0204353083434099,0.0257740585774059,0.0477132262051916,0.00568865809040481,0.0153265983946859,0.0232976492660854,0.0163142857142857,0.0123302226739351,0.0129681978798587,0,0.00733118971061093,0.00932443365695793,0.00406504065040651,0.0134738869863014,0.00459862385321101,0.0172926447574335
ABCB9,0.00824053452115813,0.0143893591293833,0.0199163179916318,0.00197775030902348,0,0.00688486022695821,0.00177684582275687,0.00517142857142857,0.00336782777418461,0.0186219081272085,0,0.00668810289389067,0.0198422330097087,0,0.00405607876712329,0.00597477064220183,0.02094418362024
ABCC1,0.0616926503340757,0.0845223700120919,0.0542259414225941,0.0205191594561187,0.00545261418623864,0.0106213672848049,0.00806754221388368,0.00917142857142857,0.00678647325140903,0.0263957597173145,0.0475609756097561,0.0439871382636656,0.0283373786407767,0.00406504065040651,0.0188249143835616,0.00987385321100917,0.0334637454355764
ABCC3,0.0171492204899777,0.0264812575574365,0.542928870292887,0.0266996291718171,0.217183996223298,0.397003874896208,0.35427656991502,0.2366,0.172174997690104,0.0426501766784452,0.0475609756097561,0.0761414790996785,0.0149878640776699,0.00406504065040651,0.0573523116438356,0.0419839449541284,0.0308555033907147
ABCC4,0.0193763919821826,0.0119709794437727,0.0726359832635983,0.0131025957972806,0.010055470317479,0.017817603099917,0.0176691314424456,0.0123142857142857,0.00669407742770027,0.0115547703180212,0,0.00733118971061093,0.00163834951456311,0,0.00790881849315068,0.00184633027522936,0.01207616066771
ABCC8,0.0149220489977728,0,0.0215899581589958,0.0217552533992583,0.0108816239820607,0.0139427068917797,0.0219732921311114,0.0163142857142857,0.0135313683821491,0.00872791519434629,0.0719512195121951,0.00861736334405144,0.018628640776699,0.0203252032520325,0.00855094178082192,0.0140022935779817,0.0183359415753782
ABCC9,0.0149220489977728,0.00713422007255139,0.00903765690376569,0.0168108776266996,0.0986899563318777,0.111368668696374,0.0878600595960711,0.0671714285714286,0.074605007853645,0.024982332155477,0.0475609756097561,0.017620578778135,0.0420914239482201,0.0203252032520325,0.0965218321917808,0.0190481651376147,0.0131194574856547
