,B cell,Conventional dendritic cell,Endothelial A,Endothelial B,Epithelial,Fibroblast,Lung cell,Macrophage,Malignancy,Monocyte,Myeloid,Neutrophil,NK cell,Plasma,Plasmablast,Plasmacytoid dendritic cell,T cell CD4,T cell CD8,T cell regulatory
A2M,0.434619849100406,0.537096774193548,1.39686684073107,1.51805143422354,2.49331932005118,1.25582396014192,0.281831751377832,1.20962505715592,0.0377540260736196,0.165172413793103,0.414002283194898,0.182391304347826,0.543348384855853,0.633945011586397,0.180627177700348,0.443396226415094,0.259435982865302,0.235122003886849,0.308233173076923
AAAS,0.0304797833236603,0.0568100358422939,0.0548302872062663,0.030250576986482,0.050347285688174,0.0489846757756473,0.0407876607470912,0.0244398719707362,0.0803153757668712,0.0203448275862069,0.0407786481911585,0.0227639751552795,0.0436957276832233,0.0414730381411662,0.0405574912891986,0.0235849056603774,0.0385887672536887,0.0330058302742388,0.0371995192307692
AAK1,0.0664635325981815,0.0263440860215054,0.0261096605744125,0.0422024398285526,0.0252147687808445,0.0399260209858836,0.0287699020208206,0.0537037037037037,0.0445600076687116,0.013448275862069,0.0568791087666811,0.00661490683229814,0.101875651267801,0.0285714285714286,0.0140766550522648,0.020440251572327,0.156151832460733,0.104696609803498,0.136358173076923
AAMP,0.0581447088411685,0.0621863799283154,0.0365535248041775,0.0703099241674909,0.0609486382745385,0.0723862006492036,0.0733963563992651,0.0550754458161866,0.213271664110429,0.0410344827586207,0.0619966145730819,0.0227639751552795,0.0537686696769712,0.0564414104089685,0.0656445993031359,0.0361635220125786,0.0509638267491671,0.049201036493198,0.0528245192307692
AARS1,0.05195395627781,0.0424731182795699,0.101827676240209,0.0638806462248599,0.0572929994516542,0.0696686042122745,0.0643639007960808,0.0729080932784636,0.257079179447853,0,0.0468409243002795,0.00909937888198758,0.0490795415074679,0.0791131709150122,0.108850174216028,0.0471698113207547,0.0450142789148025,0.0556791189807817,0.0558293269230769
AASS,0.00861868833430064,0.0155913978494624,0.0731070496083551,0.0577810748433894,0.148044233229757,0.0666490526156866,0.116109154929577,0.0180384087791495,0.117412768404908,0.00655172413793103,0.00558595441483289,0.00226708074534161,0.0176450156304272,0.0218701070958853,0,0.0157232704402516,0.00979295573536411,0.0120600302310516,0.00955528846153846
ABAT,0.00494292899980654,0.0021505376344086,0.0130548302872063,0.00131882624464227,0.00355510875525498,0.00482373367554918,0.00190217391304348,0.00797896662094193,0.00516200153374233,0,0.00157068062827225,0.00164596273291925,0.00739840222299409,0.002329805223273,0.0043205574912892,0.00157232704402516,0.00955497382198953,0.0116281580652127,0.0167668269230769
ABCA1,0.03164054942929,0.0299283154121864,0.0391644908616188,0.0152489284536762,0.0368214220435021,0.0489091869857326,0.0502793937538273,0.0797668038408779,0.0433138420245399,0.00655172413793103,0.124351454552612,0.00847826086956522,0.0103508162556443,0.0199286027431578,0.0203484320557491,0.0314465408805031,0.0107448833888624,0.00882098898725977,0.0113581730769231
ABCA2,0.0109402205455601,0.00125448028673835,0.0130548302872063,0.00387405209363666,0.000996161579235971,0.0104099041292368,0.00205526638089406,0.000663008687700046,0,0,0,0,0.0381382424452935,0.00264295108661615,0.00222996515679443,0.00786163522012578,0.0155045216563541,0.0260958756208162,0.0119591346153846
ABCA5,0.0180982781969433,0.0200716845878136,0.0156657963446475,0.00659413122321134,0.0200968744288064,0.0228655544651619,0.0193547152480098,0.0125514403292181,0.0320983512269939,0,0.00491674211707279,0,0.0202500868357068,0.0244379031752991,0.0273170731707317,0.00628930817610063,0.0212160875773441,0.0178903044698769,0.0167668269230769
ABCB1,0.0173244341265235,0.0155913978494624,0.0261096605744125,0.0112924497197494,0.00967830378358618,0.0169019400619008,0.0133075627679118,0.0148376771833562,0.0221290260736196,0,0.0168444671889147,0.00164596273291925,0.0704411253907607,0.00915638504415357,0.009198606271777,0.00157232704402516,0.0312113279390766,0.0545994385661844,0
