,Acinar,B cell,Dendritic cell,Endothelial,Fibroblast,Macrophage,Mast cell,Mesenchymal cell,Monocyte,Neutrophil,NK cell,Pancreatic A cell,Pancreatic D cell,Pancreatic ductal cell,Plasmablast,Plasmacytoid dendritic cell,T cell CD4,T cell CD8,T cell regulatory,Type B pancreatic cell
AATK,0.0666699676872677,0.0363941769316909,0.0123604465709729,0.0396553417124902,0.0262039903680771,0.0615999630861645,0.0784932952620943,0.0123128333654649,0.107777753482168,0.106342058354442,0.0550239234449761,0.179623896342163,0.178625954198473,0.0421001901081653,0.0745970617600913,0.043859649122807,0.00775623268698061,0,0.0314327485380117,0.150416004487239
ABL1,0.0696804984754077,0.0895856662933931,0.027511961722488,0.0889090730557738,0.128437105836487,0.068533891515271,0.0416520081487724,0.203521624574256,0.0554304331664225,0.0181067642367952,0.0508916920400174,0.11099644536177,0.213740458015267,0.119401660024324,0.0342176579660533,0.0676691729323308,0.113019390581717,0.0975380838928597,0.0869883040935673,0.166401794895765
ABL2,0.0950515039077162,0.100223964165733,0.0502392344497608,0.119692655145326,0.0722824217406261,0.0980230124206667,0.0764724651672707,0.0819099029625345,0.0516913388581549,0.0172154986396472,0.0384949978251414,0.109544012536789,0.109923664122137,0.0909173604572392,0.0426187419768935,0.0676691729323308,0.0709141274238227,0.0591293047433398,0.0175438596491228,0.0621135431830019
ACE,0,0.0363941769316909,0.00478468899521532,0.074076983503535,0.0038728356839812,0.00620823598008331,0.00620975725494367,0,0,0.00117271789098414,0.00956937799043062,0.0271184497190689,0.0152671755725191,0.0150201631860152,0.00467836257309941,0.0200501253132832,0.0182825484764543,0.00700310446899141,0.00365497076023392,0.0309031904806421
ACE2,0.0166016844788674,0.0470324748040314,0.0123604465709729,0.0379762372348782,0.0320863433092535,0.0203948941453818,0.011650453664084,0.0948525159051475,0.0209476745457328,0.00562904587672389,0.017833840800348,0.0104154722317777,0.0274809160305344,0.0315307533959913,0.0168734845243189,0.0081453634085213,0.0182825484764543,0.0234640098187856,0.0175438596491228,0.0537400339213932
ACKR1,0,0.238521836506159,0.0123604465709729,0.416987431264729,0.00746760692581126,0.00875864643676618,0.0077642419432695,0.0101150311676627,0.0915750114796755,0.0671263720799324,0.0508916920400174,0,0,0,0.0100984167736414,0.043859649122807,0.00775623268698061,0,0.0453216374269006,0
ACKR3,0.116811086317962,0.0895856662933931,0.00478468899521532,0.0656814611154753,0.0612257768604518,0.0329875457752535,0.133677501697661,0.0408842619368935,0.0122231211597752,0,0.0219660722053067,0.0797691396246608,0.12824427480916,0.0723128252382475,0.140992725716731,0.0557644110275689,0.0498614958448753,0.0399249151685799,0.00365497076023392,0.0571655604375058
ACKR4,0.155541322122641,0.0257558790593505,0.0199362041467305,0.0485172820109976,0.0492432060543516,0.0472539042673233,0.0567305096255328,0.0640832851359167,0.0292567730085496,0.0118679050567595,0.0384949978251414,0.0703283262622788,0.0595419847328244,0.0882417640568304,0.038824704036514,0.043859649122807,0.060387811634349,0.0358096888311313,0.0453216374269006,0.0539937766262904
ACTA2,0.0101375407503007,0.132138857782755,0.0502392344497608,0.120625490966222,0.363458892328861,0.0313138389130553,0.0345013785824736,0.192776813829445,0.0238558590077187,0.0145417018482034,0.0674206176598521,0.0303864235752781,0.0244274809160305,0.0261795605951737,0.0201255170446441,0.0676691729323308,0.113019390581717,0.0289509782687171,0.114766081871345,0.0132680724902843
ACTG2,0,0.0151175811870101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0175438596491228,0
