,Acinar A,Acinar B,Active stellate,Alpha cells,Beta cells,Delta cells,Ductal,Epsilon cells,Gamma cells,Macrophage,Quiescent stellate
A1BG,0,0,0.0087468671679198,0,0.0110077519379845,0,0.000988023952095808,0,0,0,0.000466839570211189
A1CF,0.00894060414817737,0.0248125349748181,0.0049874686716792,0.0430364372469636,0.0158527131782946,0.06,0.00711213935764834,0,0.0378378378378378,0.00177718832891247,0.00602445350129678
A2M,0.0996285704894323,0.0760156687185227,1.52503759398496,0.0855465587044534,0.0924031007751938,0.0319626168224299,0.0708029395753947,0.235,0.0378378378378378,0.281618037135278,0.903393849573916
A2ML1,0.00111757551852217,0.00354784555120313,0.0012280701754386,0.00659919028340081,0.00810077519379845,0.0132710280373832,0.00860914534567229,0,0,0.00575596816976127,0.0012078547610226
A3GALT2,0,0.00130945719082261,0,0.0106477732793522,0.0158527131782946,0.00392523364485981,0.00765650517147523,0,0.0108108108108108,0.0123872679045093,0
A4GALT,0.00535778851526805,0.00774482372691662,0.0313032581453634,0.0126720647773279,0.0245736434108527,0.00392523364485981,0.0184077299945563,0,0,0.00840848806366048,0.0401111522786217
A4GNT,0,0,0,0,0,0,0.00275721284703321,0,0,0,0
AAAS,0.0750419090819446,0.0525125909345271,0.041328320802005,0.047085020242915,0.0458914728682171,0.0413084112149533,0.0403184540010887,0,0.0378378378378378,0.0322811671087533,0.0408521674694331
AACS,0.0280379975676298,0.0332064913262451,0.0137593984962406,0.0288663967611336,0.0575193798449612,0.0319626168224299,0.0170468154599891,0,0.0378378378378378,0.00708222811671087,0.010841052241571
AADACL2,0.00779015876146337,0.0130609960828204,0.0074937343358396,0.0126720647773279,0.0177906976744186,0.00392523364485981,0.00888132825258574,0,0,0.00177718832891247,0.00343090033345684
AADACL3,0,0,0.0012280701754386,0,0.00325581395348837,0.0506542056074766,0,0,0,0.00177718832891247,0
AADACL4,0.00578509680176183,0.0127811975377728,0.003734335839599,0.0349392712550607,0.0100387596899225,0,0.00874523679912901,0,0,0,0.0112115598369767
AADAT,0.00154488380501594,0,0,0.0167206477732793,0.0051937984496124,0,0.00343767011431682,0,0.0108108108108108,0.00575596816976127,0.00231937754723972
AAGAB,0.225815994477862,0.0919641857862339,0.0375689223057644,0.0551821862348178,0.0226356589147287,0.0226168224299065,0.0620930865541644,0.485,0.0378378378378378,0.0561538461538462,0.0730863282697295
AAK1,0.0139696939815271,0.0203357582540571,0.0024812030075188,0.0207692307692308,0.0158527131782946,0.0132710280373832,0.0231709308655416,0,0,0.0190185676392573,0.0138051130048166
AAMDC,0.0078230286296552,0.0164185786233912,0.016265664160401,0.0308906882591093,0.00810077519379845,0,0.0120114316820904,0,0.0108108108108108,0.0216710875331565,0.00639496109670248
