,B cell,Conventional dendritic cell,Endothelial,Fibroblast,Keratinocyte,Macrophage,Malignancy A,Malignancy B,Mast cell,Monocyte,Neutrophil,NK cell,Plasma,Plasmablast,Plasmacytoid dendritic cell,T cell CD4,T cell CD8,T cell regulatory
A2M,0.11505376344086,0.0475609756097561,1.75900568181818,0.343755047882774,0,0.278581312963578,0.00230904522613065,0.0170356510312518,0.0362204724409449,0.0241935483870968,0.00899581589958159,0.0361058601134216,0.0692396313364055,0.0208661417322835,0,0.0516949152542373,0.0319400630914827,0.0200460829493088
AAAS,0.0881720430107527,0,0.0368465909090909,0.0336131302642206,0.0307179487179487,0.0271698217646408,0.117937185929648,0.114504656344627,0.0125984251968504,0.0564516129032258,0.0106694560669456,0.0209829867674858,0.031221198156682,0.012992125984252,0,0.000847457627118645,0.0272082018927445,0.00622119815668203
AAK1,0.0290322580645161,0.0231707317073171,0.0359943181818182,0.0425550940348448,0.00883760683760684,0.0294946307981844,0.0824095477386935,0.0807104496372051,0.00866141732283464,0,0,0.00964083175803403,0.00933179723502304,0,0,0.0347457627118644,0.0666403785488959,0.0407834101382488
AAMP,0.0397849462365591,0,0.0476420454545455,0.038574477904696,0.188666666666667,0.0279447581091553,0.170701005025126,0.189406101811118,0.00866141732283464,0,0.00230125523012552,0.0153119092627599,0.0254608294930876,0,0.0157657657657658,0.0516949152542373,0.0256309148264984,0.00391705069124424
AARS1,0.0344086021505376,0.0231707317073171,0.0516193181818182,0.0439396561670705,0.0317435897435897,0.0299374515664785,0.159344221105528,0.226199794320974,0.0125984251968504,0.0241935483870968,0.0140167364016736,0.00775047258979206,0.0335253456221198,0,0.0247747747747748,0.0347457627118644,0.0256309148264984,0.00852534562211982
AASS,0.0236559139784946,0,0.0382670454545455,0.0470549209645783,0.0932820512820513,0.00796247093988708,0.0845201005025125,0.132901502599554,0,0,0.00313807531380753,0.0172022684310019,0.00472350230414746,0,0.00675675675675676,0,0.01301261829653,0.0108294930875576
ABAT,0.0182795698924731,0,0.00588068181818182,0.00182589131187262,0,0.0075750027676298,0.0149723618090452,0.0158072901788265,0.0165354330708661,0,0.0182008368200837,0.00207939508506616,0.000115207373271888,0,0,0,0.00197160883280757,0.0131336405529954
ABCA1,0,0,0.00588068181818182,0.0229404638283143,0.00815384615384616,0.033203254732647,0.0104497487437186,0.00338084899731474,0.0322834645669291,0,0.00313807531380753,0.000189035916824197,0.020852534562212,0.00511811023622047,0.0337837837837838,0.0347457627118644,0.00512618296529968,0
ABCA2,0,0.0231707317073171,0.00644886363636363,0.00378735433252567,0,0,0,0,0,0,0.00481171548117155,0.000189035916824197,0.00587557603686636,0.012992125984252,0.00675675675675676,0.000847457627118645,0.0082807570977918,0.0131336405529954
ABCA5,0.0129032258064516,0,0.00616477272727272,0.0082294911734164,0.0440512820512821,0.00370032104505701,0.0812537688442211,0.0396889104724904,0.000787401574803148,0,0.00146443514644351,0.00207939508506616,0.00702764976958525,0,0.0247747747747748,0,0.0114353312302839,0
ABCB1,0.0182795698924731,0,0.0459375,0.00892177223952925,0,0.00851599690025462,0.00793718592964824,0.00423784494086728,0,0,0.00397489539748954,0.0209829867674858,0.00933179723502304,0.0208661417322835,0.00675675675675676,0.0516949152542373,0.0240536277602524,0.0108294930875576
ABCB10,0.0505376344086022,0,0.0376988636363636,0.0274979808468905,0.0132820512820513,0.0315980294475811,0.161103015075377,0.190405930411929,0.0165354330708661,0.0241935483870968,0.00397489539748954,0.0209829867674858,0.0197004608294931,0,0.0247747747747748,0.0516949152542373,0.0224763406940063,0.0154377880184332
ABCB7,0.00752688172043011,0,0.0146875,0.0058641975308642,0,0.00641259825085796,0.0494949748743718,0.0600282808661372,0.000787401574803148,0,0,0,0,0,0,0.0347457627118644,0.01301261829653,0.00622119815668203
ABCB8,0.0182795698924731,0.0231707317073171,0.0226420454545455,0.0172291450328833,0.0450769230769231,0.0110622163179453,0.0180879396984925,0.0193781066102954,0.0047244094488189,0,0.0098326359832636,0.0172022684310019,0.00933179723502304,0,0.0157657657657658,0.0516949152542373,0.0224763406940063,0.00622119815668203
ABCB9,0.0021505376344086,0,0.0178125,0.0140561901465328,0.00165811965811966,0.0138851987158198,0.0149723618090452,0.0188924755756156,0.00866141732283464,0,0.00564853556485356,0.0190926275992439,0.0116359447004608,0,0.0427927927927928,0.000847457627118645,0.0208990536277603,0.0131336405529954
ABCC1,0.0344086021505376,0,0.0385511363636364,0.0382860274604823,0.0984102564102564,0.040620502601572,0.292057788944724,0.311813689081872,0.0283464566929134,0.0241935483870968,0.0106694560669456,0.011531190926276,0.0266129032258065,0.028740157480315,0,0.0177966101694915,0.0287854889589905,0.0246543778801843
ABCC3,0.0505376344086022,0.0231707317073171,0.0129829545454545,0.0152676820122303,0.0440512820512821,0.0555103509354589,0.170751256281407,0.413624807175913,0.0244094488188976,0.0241935483870968,0.0140167364016736,0.0190926275992439,0.0104838709677419,0.028740157480315,0,0.000847457627118645,0,0
ABCC4,0.0021505376344086,0,0.0169602272727273,0.0261711088035076,0.013965811965812,0.017427764862172,0.00889195979899497,0.0158072901788265,0.0598425196850394,0,0,0.00964083175803403,0.000115207373271888,0,0.00675675675675676,0,0.0240536277602524,0.00622119815668203
ABCC8,0,0.0231707317073171,0.00701704545454545,0.00678723895234799,0.0105470085470085,0.00148621720358685,0.012108040201005,0.0120365080271953,0,0.0241935483870968,0.00313807531380753,0.011531190926276,0.00587557603686636,0,0,0.0177966101694915,0.00985804416403786,0
