"","Astrocytes Bergmann glia","Astrocytes cortex hippocampus","Astrocytes thalamus hypothalamus","Cajal-Retzius cells","CCK interneurons","Cholinergic neurons habenula","Choroid plexus epithelial cells","Committed oligodendrocytes","D1 medium spiny neurons","D2 medium spiny neurons","Dopaminergic neurons","Ependymal cells","Excitatory neurons amygdala","Excitatory neurons di/mesencephalon","Excitatory neurons hippocampal CA1","Excitatory neurons hippocampal CA2","Excitatory neurons hippocampal CA3","Excitatory neurons layer 1 piriform","Excitatory neurons layer 2/3","Excitatory neurons layer 4","Excitatory neurons layer 5","Excitatory neurons layer 5/6","Excitatory neurons layer 6","Excitatory neurons telencephalon","Granule neurons","Hindbrain excitatory neurons","Hindbrain inhibitory neurons","Hypendymal","Inhibitory interneurons","Inhibitory neurons amygdala","Inhibitory neurons habenula hypothalamus","Inhibitory neurons habenula thalamus","Inhibitory neurons reticular nucleus","Interneuron selective interneurons","Interneurons","Mature oligodendrocytes","Microglia","Myelin forming oligodendrocytes","Neuroblasts","Neurogliaform cells","Newly-formed oligodendrocytes","Olfactory bulb inhibitory neurons","Olfactory ensheathing cells","Oligodendrocyte precursor cells","Peptidergic neurons","Pericytes","Perivascular macrophages","Purkinje cells","Radial glia","Serotonergic neurons","T cell","Tanycytes","Telencephalon inhibitory neurons","Vascular endothelial cells","Vascular leptomeningeal cells","Vascular smooth muscle cells"
"6330403K07Rik",0.00368027602070155,0.333436715403928,0.704328358208955,0.0159574468085106,2.67602739726027,1.90296735905045,0,0.819086956521739,3.53203883495146,2.28585005279831,0.562650602409639,0.760972716488731,3.23689458689459,0.137862736066329,3.98263027295285,0.818909710391823,2.85889570552147,2.74282131661442,2.8266126780229,3.00914793518035,4.39730769230769,4.30617488603398,2.9146847960445,2.55157894736842,1.09599094730036,0.0621967654986523,0.160382667416995,0.0198626216370922,3.16353135313531,5.75263671875,7.54383825417202,2.7985559566787,0.619387755102041,2.05714285714286,0.00156309569195578,0.249552806850618,0.352764705882353,0.192102127659574,1.12800658978583,1.12627865961199,0.27360248447205,0.104953764861295,0.0113259668508287,0.706122448979592,6.132,0.192256118002011,0.266779661016949,0,0.0569767441860465,59.0028846153846,0.131192660550459,17.1042424242424,0.615533980582524,0.151984126984127,0.354862579281184,0.254105571847507
"Abca2",0.0370327774583094,0.551277507015212,0.562835820895522,0.111702127659574,1.38835616438356,1.21379821958457,1.65456989247312,3.10691304347826,0.787378640776699,0.569904963041183,0.234939759036145,0.641162514827995,0.852991452991453,2.60147397512667,0.977667493796526,1.18347529812606,1.07274320771253,1.32526645768025,0.895308573024295,0.728437009932044,1.29303418803419,1.20629921259843,1.05782447466007,0.935362731152205,0.841545425153573,0.280862533692722,0.2676796098293,0.0364625071551231,1.01749174917492,0.8263671875,1.38530166880616,1.86611655492522,1.88177842565598,1.1607535321821,0.114029736942432,2.70150333016175,0.315705882352941,4.42086808510638,0.473970345963756,1.10864197530864,2.9972049689441,0.0897622192866579,0.142541436464088,0.627210884353742,0.652,0.207341602413677,0.683728813559322,0.0532348804500703,0.0332558139534884,1.8875,0.470642201834862,0.667878787878788,1.57427184466019,0.19532967032967,0.380232558139535,0.306158357771261
"Abi1",0.0629097182288672,0.81800324915079,0.895970149253731,0.0265957446808511,1.49794520547945,1.11216617210683,0.932347670250896,0.500826086956522,1.56407766990291,1.28373812038015,0.0807228915662651,0.585409252669039,1.19415954415954,1.40732381391064,4.25144747725393,5.8717206132879,3.83698510078878,2.07009404388715,1.72971237084613,1.12519602718244,1.8007264957265,1.6605055946954,1.50529048207664,1.04688477951636,3.11377303588749,0.107008086253369,0.1134871506284,0.0307384087006297,1.3516501650165,0.74921875,0.841335044929397,1.29778236204229,1.23454810495627,1.00062794348509,0.0587495234464354,0.386755470980019,0.727470588235294,0.427676595744681,0.765568369028007,1.34144620811287,1.36055900621118,0.040224570673712,0.0389502762430939,0.695238095238095,0.532,0.450050284948039,0.798983050847458,0.0335443037974684,0.0444186046511628,1.27211538461538,0.378899082568807,0.516363636363636,1.37443365695793,0.473107448107448,0.617019027484144,0.667595307917889
"Abi2",0.0174813110983324,0.410973268350318,0.407313432835821,0.0159574468085106,1.42260273972603,1.71083086053412,0.858870967741935,0.589521739130435,2.31844660194175,2.08416050686378,0.0373493975903614,0.508303677342823,1.93632478632479,1.30460617227084,3.79652605459057,3.90919931856899,3.76336546888694,3.54846394984326,2.88888578609327,1.70047046523785,2.86183760683761,2.89009531703274,3.16561186650185,1.569786628734,3.24568380213385,0.0615229110512129,0.0876008253610955,0.00555237550085861,1.65445544554455,1.21064453125,1.07785622593068,1.33594636410521,1.20102040816327,1.33971742543171,0.0229126953869615,0.330047573739296,0.375705882352941,0.398570212765957,0.620593080724876,1.47548500881834,0.646273291925466,0.064002642007926,0.00441988950276243,0.830612244897959,0.292,0.365236339255783,0.392203389830508,0.00893108298171589,0.0127906976744186,1.29134615384615,0.112844036697248,0.407272727272727,1.77249190938511,0.181288156288156,0.330549682875264,0.271700879765396
"Abl1",0.00368027602070155,0.203618372470831,0.231791044776119,0,0.30958904109589,0.582492581602374,0.584677419354839,0.92995652173913,0.351456310679612,0.355543822597677,0.0132530120481928,0.415776986951364,0.154273504273504,0.323721787194841,0.37055417700579,0.384497444633731,0.297107800175285,0.357868338557994,0.349371683887182,0.29874542603241,0.378931623931624,0.365437215084956,0.353992583436341,0.281593172119488,0.454542515357258,0,0.0065653723504033,0.00154550658271322,0.285643564356436,0.24189453125,0.289024390243902,0.32202166064982,0.313265306122449,0.366405023547881,3.81242851696523e-05,0.731760228353949,0.810411764705882,1.38648510638298,0.585996705107084,0.34320987654321,1.88229813664596,0,0.00856353591160221,0.353741496598639,0,0.207341602413677,0.74135593220339,0.0159634317862166,0,0.195192307692308,0.0853211009174312,0.328484848484848,0.398705501618123,0.1748778998779,0.382346723044397,0.324486803519062
"Ace2",0.0019551466359977,0.0385024368630926,0.0332835820895522,0,0.00136986301369862,0.0735905044510386,0.0658602150537634,0.0360434782608696,0.0378640776699029,0.0303062302006336,0,0.0551601423487545,0.0132478632478632,0.0236296637494242,0.0405293631100083,0.0471890971039182,0.0429447852760736,0.00927899686520378,0.00952247975425857,0.0175117616309461,0.0323504273504274,0.0475756319933692,0.0254388133498146,0.0198577524893314,0.0322987390882638,0,0,0.000400686891814538,0,0.0236328125,0.013992297817715,0,0.0260932944606414,0.0241758241758242,0,0.0449857278782112,0.0327647058823529,0.0416340425531915,0.0835255354200988,0.0222222222222222,0.05,0,0,0.0578231292517007,0.052,0.476533690915186,0.0667796610169492,0.0040084388185654,0,0,0.0119266055045872,0.0557575757575758,0.00711974110032361,0.0622405372405372,0.0335095137420719,0.119941348973607
"Acer3",0.0410580793559517,0.265204548811106,0.315671641791045,0.0372340425531915,0.58013698630137,0.480118694362018,0.463709677419355,0.232130434782609,0.233980582524272,0.151742344244984,0.0807228915662651,0.383748517200475,0.227635327635328,0.919299861814832,0.530190239867659,0.566780238500852,0.644171779141104,0.564137931034483,0.421697849762636,0.368792472556194,0.549017094017094,0.475259013675922,0.516909765142151,0.211607396870555,0.673100549628193,0.0787061994609164,0.118364284374414,0.0124212936462507,0.541419141914191,0.25751953125,0.556354300385109,0.640226921093347,1.09460641399417,0.418210361067504,0.0175752954632101,0.163920076117983,0.570411764705882,0.194485106382979,0.156013179571664,0.43668430335097,0.329503105590062,0.0124834874504624,0.00580110497237569,0.291836734693878,0.132,0.106436473348978,0.473559322033898,0.0152601969057665,0.0169767441860465,0.647115384615385,0.112844036697248,0.51030303030303,0.690776699029126,0.11504884004884,0.257610993657505,0.155865102639296
"Acta2",0,0.100383990547925,0.159253731343284,0,0.0561643835616438,0.112908011869436,0.353494623655914,0.0973478260869565,0.074757281553398,0.086272439281943,0,1.52728351126928,0.0367521367521367,0.0540304007369876,0.0719602977667494,0.0761499148211243,0.0438212094653812,0.10269592476489,0.0329796146327841,0.0768426555148981,0.0379059829059829,0.0525486945710733,0.085512978986403,0.0303840682788051,0.0849983834464921,0,0,0,0.0257425742574257,0.06953125,0.0897304236200257,0.0347601856627127,0.182069970845481,0.0869701726844584,0,0.116917221693625,0.155117647058824,0.112953191489362,0.363591433278418,0.188007054673721,0.264285714285714,0,0.00994475138121547,0.117006802721088,0.052,0.149011062688569,0.243050847457627,0,0,0.118269230769231,0.0119266055045872,0.389090909090909,0.141423948220065,0.121459096459096,0.659302325581395,7.7658357771261
"Ada",0,0.0500221533008418,0.0816417910447761,0,0.0287671232876712,0.0735905044510386,0.0371863799283154,0.141260869565217,0.0543689320388349,0.0577613516367476,0,0.100237247924081,0.0189458689458689,0.0197144173192078,0,0,0,0.0381191222570533,0.00170343479475006,0.0397281756403555,0,0.0368006630750104,0.0397775030902349,0.00933143669985775,0.0491108955706434,0,0,0,0.000990099009900991,0.079296875,0.0878048780487805,0.0394017534811759,0.0508746355685131,0.0932496075353218,3.81242851696523e-05,0.107783063748811,0.105705882352941,0.179336170212766,0.0785831960461285,0.0486772486772487,0.140062111801242,0,0,0.112925170068027,0.012,0.0454240697284613,0.0938983050847458,0,0,0.0221153846153846,0.0302752293577982,0.334545454545455,0.0200647249190938,0.0787240537240537,0.112790697674419,0.0744868035190616
"Adam10",0.072110408280621,0.332550583370255,0.475373134328358,0.132978723404255,0.967123287671233,0.502373887240356,0.606182795698925,0.61604347826087,0.546601941747573,0.450580781414995,0.107228915662651,0.370699881376038,0.936324786324786,0.807600184246891,1.11993382961125,1.3350936967632,0.674846625766871,1.1566144200627,0.734738899748673,0.616309461578672,0.926367521367521,1.0840447575632,1.06326328800989,0.621849217638691,0.715454251535726,0.11644204851752,0.148002250984806,0.0656554092730395,0.635478547854785,0.57783203125,0.795442875481386,0.819700876740588,0.56399416909621,0.674097331240188,0.125085779641632,0.554785918173168,0.841588235294118,0.648102127659574,0.493739703459638,1.16507936507937,0.590372670807453,0.111558784676354,0.0776243093922652,0.62312925170068,0.372,0.410828025477707,0.944745762711864,0.0905063291139241,0.056046511627907,1.20480769230769,0.342201834862385,0.655757575757576,0.635760517799353,0.73470695970696,0.594820295983087,0.689589442815249
"Adam22",0.0519838987924094,0.211593560773889,0.397164179104478,0.0265957446808511,3.85753424657534,2.27091988130564,0.254928315412186,0.793434782608696,2.29223300970874,1.94688489968321,0.372289156626506,0.972123368920522,2.33376068376068,3.62519576232151,3.15632754342432,2.36575809199319,2.64592462751972,4.12025078369906,3.35830773526948,2.53998954521694,3.44047008547009,3.58259428097804,2.78390605686032,1.58884779516358,2.5541222114452,0.611051212938005,0.57643969236541,0.029593589009731,2.97046204620462,1.65888671875,2.44403080872914,3.06467251160392,3.35116618075802,2.46844583987441,0.192184521540221,0.365823025689819,0.188058823529412,0.590229787234043,0.515156507413509,2.99753086419753,0.832608695652174,0.172324966974901,0.0196132596685083,1.01972789115646,0.532,0.147670130740865,0.202372881355932,0.103867791842475,0.056046511627907,2.68557692307692,0.0761467889908257,1.05575757575758,3.87605177993527,0.0814713064713065,0.13816067653277,0.105278592375367
"Adar",0.0128809660724554,0.296662236006498,0.417164179104478,0.0372340425531915,2.38493150684931,1.76646884272997,0.505824372759857,0.478217391304348,1.21650485436893,0.965892291446674,0.112048192771084,0.421708185053381,1.03247863247863,2.05333947489636,1.22911497105045,2.48160136286201,2.12269938650307,1.82557993730408,1.70541748115052,1.34291688447465,2.13448717948718,1.81218400331538,1.830630407911,0.891550497866287,1.60003233107016,0.0861185983827493,0.114800225098481,0,1.94653465346535,1.10029296875,1.74666238767651,1.92542547705003,2.08731778425656,1.44489795918367,0.0244376667937476,0.21453853472883,0.429823529411765,0.241293617021277,0.567874794069193,1.93403880070547,0.487888198757764,0.0375825627476882,0,0.506122448979592,0.692,0.233825008380825,0.432881355932203,0.0152601969057665,0.00627906976744186,2.20480769230769,0.406422018348624,0.613333333333333,2.34126213592233,0.329334554334554,0.293551797040169,0.318621700879765
"Adcy1",0.033007475560667,1.12401417811254,0.594179104477612,0.154255319148936,1.53219178082192,0.204896142433234,0.115143369175627,1.22734782608696,0.745631067961165,0.878247096092925,0.136144578313253,0.209371293001186,2.74615384615385,4.95499769691386,5.68072787427626,17.9449744463373,0.831726555652936,3.78294670846395,4.23599553197431,2.94615786722426,5.69047008547009,5.55980107749689,7.08749072929543,3.41359886201991,13.6365664403492,0.290970350404313,0.184768336147064,0.0444762449914139,2.90775577557756,0.4455078125,0.619255455712452,1.94502320783909,9.52755102040816,2.04772370486656,0.146816622188334,0.37476688867745,0.928647058823529,0.287591489361702,0.38830313014827,4.9957671957672,0.668012422360248,0.0389035667107001,0.00994475138121547,1.15918367346939,0.012,0.999161917532685,0.754915254237288,0.115119549929676,0.0388372093023256,0.300961538461538,0.103669724770642,0.273939393939394,5.35177993527508,0.531410256410256,0.603276955602537,0.410263929618768
"Adcy2",0.0140310523289247,0.826569192142963,0.766119402985075,0,2.16917808219178,0.494213649851632,0.0542114695340502,0.389086956521739,0.474757281553398,0.105279831045407,0.0228915662650602,0.241399762752076,1.50897435897436,0.288484569322893,4.54673283705542,1.05229982964225,1.86503067484663,2.7541065830721,2.54261379502932,2.19942498693152,3.73149572649573,2.58052217157066,3.23161928306551,1.32142247510669,3.16873585515681,0.0551212938005391,0.0861001688238604,0.00383514596451059,3.3516501650165,0.8791015625,1.29704749679076,0.622692109334709,2.46778425655977,3.08383045525903,0,0.247459562321598,0.248058823529412,0.148527659574468,0.404777594728171,0.651851851851852,0.223913043478261,0.0798546895640687,0.00441988950276243,0.429931972789116,0.132,0.225108950720751,0.37864406779661,0,0.00581395348837209,1.39711538461538,0.0211009174311927,1.5769696969697,0.642233009708738,0.186172161172161,0.319978858350951,0.362609970674487
"Adcy8",0.0019551466359977,0.129774036331413,0.518059701492537,0.0159574468085106,0.217123287671233,1.11513353115727,0.00582437275985663,0.137347826086957,0.0466019417475728,0.0841605068637804,0.0108433734939759,0.0990510083036773,0.125071225071225,1.22561031782589,0.534325889164599,0.168143100511073,0.0578439964943032,0.828087774294671,0.461910080982966,0.582331416623105,0.753717948717949,0.389059262329051,0.285265760197775,0.20221906116643,0.146427416747494,0.0268194070080863,0.036015756893641,0.00784201488265598,0.422607260726073,0.18330078125,0.353209242618742,0.965136668385766,0.667492711370262,0.50298273155416,0.0160503240564239,0.0973168411037107,0.113352941176471,0.0698893617021276,0.0967051070840198,0.477248677248677,0.0468944099378882,0.00984147952443857,0,0.229251700680272,0.212,0.0652028159570902,0.161694915254237,0,0.00116279069767442,1.05096153846154,0.0211009174311927,0.176969696969697,0.70453074433657,0.0466727716727717,0.070507399577167,0.0649560117302053
"Adcy9",0.00885566417481311,0.324723083739477,0.351194029850746,0.00531914893617021,0.68972602739726,0.598071216617211,0.254032258064516,0.361260869565217,1.29320388349515,1.0493136219641,0.0469879518072289,0.365954922894425,0.793874643874644,1.03376324274528,4.24069478908189,5.09148211243612,3.51884312007011,1.96037617554859,2.12708740575258,1.10454783063251,1.47679487179487,1.65594695399917,2.51369592088999,0.754423897581792,2.43902360168122,0.101617250673854,0.0885387356968674,0.00841442472810532,0.69983498349835,0.5021484375,0.605134788189987,0.747498710675606,1.10481049562682,0.74160125588697,0.0320625238276782,0.213206470028544,0.428058823529412,0.336953191489362,0.328995057660626,0.912874779541446,0.407142857142857,0.0243725231175694,0.00580110497237569,0.545578231292517,0.132,0.370264834059671,0.42271186440678,0.0272151898734177,0.0141860465116279,0.281730769230769,0.0944954128440367,0.443636363636364,1.12766990291262,0.251800976800977,0.400317124735729,0.503372434017595
"Add1",0.0473835537665325,1.23256535223748,0.91089552238806,0.0372340425531915,2.5972602739726,2.04094955489614,0.691308243727599,2.13865217391304,2.49417475728155,1.88669482576558,0.162650602409639,0.976868327402135,2.61937321937322,2.90617227084293,3.76261373035567,4.03867120954003,4.64592462751972,4.32902821316614,3.0145490086568,2.15577626764245,3.31653846153846,3.3277248238707,3.29021013597033,2.26736842105263,2.80048496605238,0.242452830188679,0.257925342337273,0.0416141957641671,2.22211221122112,1.43623046875,1.7890243902439,2.52057761732852,2.24766763848397,1.83422291993721,0.0900114372855509,1.30378686964795,0.745117647058824,2.34614468085106,1.37841845140033,2.01164021164021,5.2332298136646,0.122787318361955,0.0679558011049724,1.5265306122449,0.652,0.572745558162923,0.937966101694915,0.089803094233474,0.0662790697674419,2.30096153846154,0.342201834862385,2.24363636363636,2.44805825242718,0.533547008547009,0.873890063424947,0.880205278592375
